timestamp,open,high,low,close,volume
1622793600000,0.25,0.448,0.25,0.383,69723.77279129
1622793660000,0.383,0.3849,0.361,0.3749,32752.13093598
1622793720000,0.368,0.4088,0.3652,0.375,80024.32266858
1622793780000,0.373,0.3988,0.3655,0.3769,34807.29777598
1622793840000,0.3769,0.3986,0.366,0.3731,36293.68279912
1622793900000,0.3731,0.398,0.37,0.398,14654.54230857
1622793960000,0.3899,0.3981,0.374,0.397,13081.92600198
1622794020000,0.397,0.397,0.378,0.395,2102.89367257
1622794080000,0.3949,0.3949,0.39,0.39,722.7338144
1622794140000,0.3909,0.391,0.3784,0.3898,9838.35310025
1622794200000,0.3785,0.3896,0.3761,0.38,22090.66754737
1622794260000,0.38,0.387,0.375,0.3761,8731.30615497
1622794320000,0.375,0.3761,0.375,0.3755,5429.78233536
1622794380000,0.375,0.375,0.3703,0.3703,3157.6186
1622794440000,0.3724,0.3724,0.3701,0.3702,10642.49600248
1622794500000,0.3702,0.3725,0.3702,0.3725,2227.27385234
1622794560000,0.3725,0.3725,0.366,0.366,11232.41398656
1622794620000,0.3724,0.3724,0.34,0.37,21805.51264472
1622794680000,0.3438,0.367,0.34,0.3595,9504.06583986
1622794740000,0.358,0.358,0.345,0.345,1408.75565809
1622794800000,0.3498,0.35,0.3403,0.3403,3956.67835455
1622794860000,0.3403,0.3403,0.3345,0.3345,9796.4126
1622794920000,0.3346,0.3393,0.3282,0.331,9650.46620775
1622794980000,0.3312,0.335,0.328,0.3301,3948.23608059
1622795040000,0.3301,0.3499,0.3301,0.3355,9957.10651659
1622795100000,0.3357,0.3396,0.329,0.3292,7282.88834233
1622795160000,0.3292,0.336,0.3292,0.3292,3431.72759914
1622795220000,0.3292,0.345,0.3292,0.345,13297.95701014
1622795280000,0.3399,0.34,0.3293,0.3293,27395.87653501
1622795340000,0.3293,0.34,0.3132,0.32,27212.94911893
1622795400000,0.3211,0.33,0.321,0.3221,6667.25585658
1622795460000,0.3225,0.3355,0.3225,0.3317,1596.48364342
1622795520000,0.335,0.3359,0.3317,0.3359,898.88011854
1622795580000,0.3317,0.3499,0.3249,0.3386,15659.81671436
1622795640000,0.3386,0.3547,0.3304,0.3377,11045.15192434
1622795700000,0.3355,0.348,0.3341,0.3351,10221.01627418
1622795760000,0.3351,0.348,0.3343,0.343,12139.99668735
1622795820000,0.3415,0.3415,0.335,0.335,1053.7961
1622795880000,0.3359,0.3399,0.3359,0.3399,107.9105
1622795940000,0.34,0.343,0.3386,0.34,7465.196
1622796000000,0.3404,0.3405,0.3386,0.3386,21965.52821752
1622796060000,0.3386,0.343,0.3351,0.3422,3525.29634956
1622796120000,0.3422,0.3429,0.3422,0.3429,711.4482
1622796180000,0.343,0.3484,0.3424,0.3433,5969.74704043
1622796240000,0.34,0.343,0.325,0.325,18649.5064
1622796300000,0.3385,0.3385,0.3271,0.3385,56.82884623
1622796360000,0.331,0.339,0.331,0.339,1608.89258997
1622796420000,0.331,0.331,0.33,0.3301,10884.7045
1622796480000,0.3375,0.3375,0.3303,0.3368,364.59837803
1622796540000,0.331,0.3311,0.33,0.3311,903.8428
1622796600000,0.3297,0.3297,0.3297,0.3297,532.7713
1622796660000,0.33,0.33,0.33,0.33,5.0
1622796720000,0.3273,0.336,0.3243,0.3243,6842.93002914
1622796780000,0.325,0.3256,0.3237,0.3237,1238.0603
