timestamp,open,high,low,close,volume
1619769600000,0.05,0.1085,0.05,0.0977,2067974.99366692
1619769660000,0.0999,0.0999,0.0717,0.0973,351638.27450386
1619769720000,0.0973,0.0974,0.083,0.0898,166113.03850861
1619769780000,0.0895,0.09,0.086,0.086,132210.85540124
1619769840000,0.0859,0.0859,0.0702,0.0702,193452.77202201
1619769900000,0.0757,0.076,0.07,0.075,242554.1126
1619769960000,0.075,0.0755,0.0726,0.0749,132247.44908232
1619770020000,0.0749,0.075,0.0707,0.0746,83661.84230444
1619770080000,0.0746,0.0746,0.0713,0.0713,109903.80895192
1619770140000,0.0713,0.0714,0.0635,0.0638,297399.41153506
1619770200000,0.0637,0.0637,0.0558,0.059,268712.2751313
1619770260000,0.059,0.0761,0.0573,0.0761,673649.88775511
1619770320000,0.0762,0.0813,0.0761,0.0772,172365.80238881
1619770380000,0.0789,0.0789,0.067,0.0672,32423.88799568
1619770440000,0.0689,0.073,0.0689,0.072,19434.95307499
1619770500000,0.072,0.072,0.0695,0.0717,8428.85069208
1619770560000,0.0717,0.0717,0.066,0.0708,40188.97033248
1619770620000,0.0708,0.0708,0.068,0.07,46150.78761792
1619770680000,0.0698,0.0698,0.0678,0.0678,39137.25404392
1619770740000,0.0673,0.0678,0.0673,0.0673,30605.41143873
1619770800000,0.0676,0.0676,0.0662,0.0675,8854.39512366
1619770860000,0.0675,0.071,0.0675,0.071,98046.23839386
1619770920000,0.071,0.0787,0.0683,0.0702,113364.92647409
1619770980000,0.0771,0.078,0.0703,0.073,30531.62570273
1619771040000,0.073,0.0749,0.0683,0.0749,50789.04550453
1619771100000,0.0736,0.077,0.071,0.0721,89395.55795593
1619771160000,0.0763,0.0763,0.0723,0.0754,6518.45981815
1619771220000,0.0727,0.075,0.0727,0.075,53866.1034737
1619771280000,0.0749,0.0763,0.0731,0.0763,5851.92414467
1619771340000,0.0763,0.079,0.0763,0.078,72500.02385712
1619771400000,0.079,0.0798,0.0778,0.0793,59271.18551865
1619771460000,0.0798,0.0798,0.0793,0.0793,9517.31561392
1619771520000,0.0781,0.0793,0.075,0.0757,36420.79069979
1619771580000,0.0757,0.0793,0.0757,0.0789,56023.10159188
1619771640000,0.079,0.0813,0.079,0.0813,117209.36624541
1619771700000,0.0813,0.0865,0.0812,0.0865,125060.98319001
1619771760000,0.0862,0.095,0.0862,0.0927,259259.69189144
1619771820000,0.0905,0.0938,0.09,0.0905,150383.27489099
1619771880000,0.0915,0.0917,0.086,0.086,93405.16629693
1619771940000,0.0831,0.085,0.076,0.0783,285001.51188472
1619772000000,0.0782,0.0818,0.0782,0.0816,27691.25891918
1619772060000,0.0816,0.0844,0.0816,0.084,48483.76261404
1619772120000,0.084,0.0859,0.0829,0.0858,11131.86560668
1619772180000,0.0858,0.0858,0.0826,0.0826,25695.8803
1619772240000,0.0816,0.0825,0.08,0.0815,22174.24399737
1619772300000,0.0802,0.0815,0.08,0.0804,25515.8461411
1619772360000,0.0805,0.0815,0.0805,0.0806,16962.22791671
1619772420000,0.0806,0.0814,0.0806,0.0807,5830.89794095
1619772480000,0.0808,0.0814,0.0807,0.0809,10954.98342285
1619772540000,0.0809,0.0813,0.0806,0.0813,65962.51136765
1619772600000,0.0812,0.0813,0.0807,0.0808,92819.78420522
1619772660000,0.0808,0.0816,0.0808,0.0809,7296.12532096
1619772720000,0.081,0.086,0.081,0.086,71637.20559723
1619772780000,0.086,0.0872,0.0841,0.0872,41938.46046512
1619772840000,0.0873,0.0907,0.0873,0.09,98089.92006071
1619772900000,0.09,0.0907,0.0877,0.0877,78551.90323097
1619772960000,0.0906,0.0906,0.0881,0.0899,57162.21818988
1619773020000,0.0899,0.09,0.0885,0.09,19414.80243041
1619773080000,0.09,0.09,0.0886,0.0899,32192.83636162
1619773140000,0.0899,0.0899,0.0877,0.088,70284.20248408
1619773200000,0.088,0.0894,0.088,0.0894,61704.50594199
1619773260000,0.0894,0.0894,0.0877,0.0885,5441.34236017
1619773320000,0.0885,0.0892,0.0826,0.0827,25946.56912852
1619773380000,0.089,0.089,0.0833,0.0876,21172.18354037
1619773440000,0.0833,0.0869,0.0833,0.086,7330.90276836
1619773500000,0.0839,0.0899,0.0839,0.0895,60001.16650121
1619773560000,0.0895,0.0897,0.085,0.0859,15978.83824055
1619773620000,0.0895,0.0895,0.0859,0.0863,10234.70091372
1619773680000,0.0863,0.0892,0.0863,0.0889,19610.87059818
1619773740000,0.0867,0.0869,0.0867,0.0869,3604.3047
1619773800000,0.0869,0.0889,0.0869,0.087,12239.08135405
1619773860000,0.0887,0.0887,0.0884,0.0884,2356.14970226
1619773920000,0.0883,0.0883,0.0882,0.0882,733.60547426
1619773980000,0.0871,0.088,0.0871,0.0871,4480.16157155
1619774040000,0.0871,0.0872,0.0871,0.0872,4818.10028256
1619774100000,0.0872,0.0872,0.0854,0.0854,4780.5124
1619774160000,0.086,0.086,0.077,0.0841,103447.23533738
1619774220000,0.0839,0.0839,0.0787,0.0797,16653.35986384
1619774280000,0.0792,0.0824,0.0791,0.0824,48438.33192508
1619774340000,0.0797,0.0825,0.0797,0.0825,51575.74576174
1619774400000,0.0825,0.083,0.0802,0.0811,7076.97526128
1619774460000,0.0811,0.085,0.0811,0.0822,30774.7848
1619774520000,0.0822,0.084,0.082,0.082,6687.4263607
1619774580000,0.0821,0.084,0.0821,0.084,4250.00386738
1619774640000,0.084,0.084,0.0814,0.0814,37796.67986531
1619774700000,0.0811,0.0811,0.0791,0.0791,77229.4882
1619774760000,0.0793,0.0814,0.0793,0.0795,2469.14386917
1619774820000,0.0814,0.0814,0.0798,0.0799,9363.40171228
1619774880000,0.0801,0.0838,0.08,0.0802,26464.11571372
1619774940000,0.08,0.0831,0.0799,0.0829,3713.33114366
1619775000000,0.0805,0.082,0.0805,0.0805,4136.67869007
1619775060000,0.0806,0.0811,0.0806,0.0811,8478.66500993
1619775120000,0.081,0.0824,0.081,0.0824,22687.5887
1619775180000,0.0824,0.0827,0.082,0.0827,24482.4004
1619775240000,0.0828,0.088,0.0818,0.0818,159082.41642741
1619775300000,0.0875,0.0875,0.0835,0.0875,19289.64591428
