timestamp,open,high,low,close,volume
1616068800000,3.0,3.96,3.0,3.96,94.44542928
1616068860000,3.9,3.9,3.36,3.78,1675.1930253
1616068920000,3.74,3.74,3.65,3.7299,434.1653359
1616068980000,3.7299,3.7299,3.6002,3.69,469.29022333
1616069040000,3.69,3.77,3.69,3.76,1234.81587417
1616069100000,3.7599,3.7599,3.6603,3.749,600.26243305
1616069160000,3.7489,3.7489,3.746,3.746,434.04092192
1616069220000,3.7051,3.743,3.7,3.742,861.46892773
1616069280000,3.739,3.743,3.705,3.743,635.06406712
1616069340000,3.7429,3.765,3.7429,3.765,1130.34290194
1616069400000,3.765,3.77,3.765,3.7698,442.80569434
1616069460000,3.7698,3.7698,3.75,3.7569,1920.49945983
1616069520000,3.75,3.77,3.7446,3.7548,995.6095
1616069580000,3.7548,3.7548,3.7548,3.7548,68.10570469
1616069640000,3.7629,3.77,3.7411,3.7411,585.97004916
1616069700000,3.7187,3.7441,3.7,3.7017,1512.8808
1616069760000,3.7349,3.7699,3.7349,3.7699,1687.03129018
1616069820000,3.77,4.3878,3.77,4.2372,3315.07876437
1616069880000,4.2433,4.8999,3.7699,3.7699,791.69587662
1616069940000,3.865,3.9769,3.865,3.9621,600.20335632
1616070000000,3.9478,3.95,3.9062,3.9243,1399.06786993
1616070060000,3.9336,4.0061,3.8794,3.8794,576.44461464
1616070120000,3.9251,3.9413,3.9251,3.9413,32.67488299
1616070180000,3.9435,3.9743,3.8824,3.9324,5635.3496
1616070240000,3.959,3.959,3.8824,3.9302,513.16000568
1616070300000,3.9302,4.3,3.8812,3.9008,2545.4684
1616070360000,3.9,4.0339,3.8812,3.9032,1951.00376874
1616070420000,3.9032,4.0,3.9032,3.9403,6730.842168
1616070480000,3.9263,3.9998,3.9263,3.9658,309.16370952
1616070540000,3.9658,4.0,3.9232,3.9524,1726.70447954
1616070600000,3.93,3.93,3.88,3.8987,1243.70485365
1616070660000,3.8759,3.8987,3.8715,3.8715,392.49524468
1616070720000,3.8452,3.8947,3.8452,3.8947,440.76548758
1616070780000,3.8946,3.8947,3.8946,3.8947,235.2259224
1616070840000,3.9391,3.9391,3.9016,3.9016,1607.2015
1616070900000,3.9,3.902,3.8868,3.902,200.85425463
1616070960000,3.9004,3.9016,3.87,3.8808,6418.9947
1616071020000,3.9012,3.9012,3.8226,3.8226,271.9193
1616071080000,3.8002,3.8265,3.8002,3.8072,227.2313
1616071140000,3.8265,3.8836,3.8069,3.8186,6086.61598831
1616071200000,3.8269,3.8343,3.8269,3.8343,149.06987235
1616071260000,3.8154,3.8735,3.8101,3.8735,316.0437
1616071320000,3.8521,3.9463,3.8469,3.9056,1287.95490891
1616071380000,3.9056,3.924,3.9056,3.924,179.33864525
1616071440000,3.9206,3.9206,3.9,3.9,451.99039868
1616071500000,3.9,3.9226,3.8984,3.8995,393.87835611
1616071560000,3.8977,3.912,3.888,3.9098,1959.024
1616071620000,3.912,3.912,3.905,3.912,300.0
1616071680000,3.9261,3.9405,3.9224,3.9376,942.55131788
1616071740000,3.9274,3.946,3.9274,3.946,977.60153558
1616071800000,3.94,3.9531,3.94,3.9531,416.60203
1616071860000,3.9555,4.0257,3.9555,3.9625,7682.07345735
1616071920000,3.9877,4.0252,3.918,3.95,4423.97199617
1616071980000,3.9905,4.0453,3.983,3.9896,997.99013215
1616072040000,3.9685,4.0093,3.9685,3.989,420.7233
1616072100000,4.0101,4.0101,4.0101,4.0101,39.45896611
1616072160000,4.0203,4.0203,4.0173,4.0173,236.9764
1616072220000,4.0346,4.0449,4.0208,4.025,1427.89160176
1616072280000,4.025,4.0411,4.025,4.0349,3281.16645177
