timestamp,open,high,low,close,volume
1627309800000,0.11,0.9,0.11,0.321,338489.038
1627309860000,0.3211,0.45,0.321,0.35,502504.14429854
1627309920000,0.3533,0.3613,0.35,0.3613,229685.84086119
1627309980000,0.3613,0.372,0.35,0.3548,92103.98075645
1627310040000,0.354,0.3551,0.35,0.3528,43183.58428023
1627310100000,0.3513,0.354,0.3501,0.354,64695.51800921
1627310160000,0.3535,0.3544,0.3501,0.3544,49364.92135486
1627310220000,0.3544,0.356,0.3502,0.3502,87738.45539354
1627310280000,0.353,0.3544,0.3501,0.3544,26486.92906275
1627310340000,0.3544,0.368,0.3539,0.368,35463.10300746
1627310400000,0.368,0.39,0.3618,0.3898,116696.25712414
1627310460000,0.3898,0.39,0.368,0.3693,78957.40850516
1627310520000,0.3682,0.39,0.367,0.39,63417.02407004
1627310580000,0.3895,0.43,0.389,0.4105,142578.69551877
1627310640000,0.41,0.419,0.3899,0.404,44768.71157815
1627310700000,0.408,0.4442,0.408,0.4441,62663.3971404
1627310760000,0.4445,0.48,0.4441,0.468,197545.99544688
1627310820000,0.4686,0.47,0.411,0.4215,102820.64346528
1627310880000,0.4215,0.4694,0.4207,0.4285,69055.93671753
1627310940000,0.4285,0.437,0.425,0.4312,59149.64594392
1627311000000,0.4312,0.434,0.4275,0.43,42007.89226175
1627311060000,0.4282,0.446,0.4275,0.4439,52216.93333252
1627311120000,0.444,0.4613,0.444,0.4461,64137.76196333
1627311180000,0.4461,0.457,0.4461,0.4551,23927.74234734
1627311240000,0.4551,0.4569,0.45,0.4515,43036.09537038
1627311300000,0.4503,0.4503,0.4188,0.4205,91128.71629727
1627311360000,0.4253,0.4261,0.415,0.4158,45886.59412247
1627311420000,0.415,0.4209,0.4051,0.4104,45086.94746562
1627311480000,0.4101,0.4209,0.41,0.4128,67907.04408554
1627311540000,0.4128,0.4129,0.3779,0.395,121153.25046361
1627311600000,0.3955,0.3998,0.3801,0.3801,51858.96811297
1627311660000,0.3839,0.384,0.3565,0.3565,75819.13927762
1627311720000,0.3589,0.3774,0.3502,0.376,102553.4061137
1627311780000,0.3767,0.378,0.3635,0.3648,42863.48357646
1627311840000,0.3641,0.3789,0.36,0.3789,47094.28140004
1627311900000,0.379,0.3999,0.374,0.386,69717.71992215
1627311960000,0.3879,0.39,0.3631,0.365,109559.41976118
1627312020000,0.365,0.3654,0.3004,0.32,382810.1337433
1627312080000,0.32,0.327,0.31,0.327,70257.27471977
1627312140000,0.328,0.3355,0.3275,0.33,97937.38728054
1627312200000,0.3291,0.3291,0.3149,0.318,35435.98661272
1627312260000,0.318,0.33,0.3174,0.3183,62471.16713281
1627312320000,0.3183,0.3194,0.3068,0.311,72594.21690443
1627312380000,0.313,0.3192,0.3129,0.318,40485.3016289
1627312440000,0.3181,0.3266,0.3159,0.3259,49763.37059054
1627312500000,0.3257,0.3258,0.3028,0.3041,59753.76183183
1627312560000,0.303,0.3113,0.3012,0.3055,45882.61879869
1627312620000,0.3056,0.311,0.305,0.3105,22765.37755862
1627312680000,0.3104,0.3192,0.308,0.314,64621.27584861
1627312740000,0.3157,0.3282,0.3141,0.3208,72311.93252754
1627312800000,0.3216,0.3364,0.3197,0.3301,132431.49484234
1627312860000,0.3301,0.3395,0.3301,0.3353,68837.60475153
1627312920000,0.3353,0.336,0.329,0.329,127764.90767796
1627312980000,0.33,0.33,0.329,0.329,61789.76273725
1627313040000,0.3292,0.3298,0.304,0.3072,244031.49552798
1627313100000,0.3041,0.312,0.3,0.3087,85757.72874448
1627313160000,0.3115,0.322,0.308,0.3138,60610.11039996
1627313220000,0.3131,0.3131,0.285,0.285,101466.66453521
1627313280000,0.285,0.307,0.285,0.295,42391.95052563
1627313340000,0.295,0.299,0.2936,0.2941,18549.85785803
1627313400000,0.2944,0.298,0.2944,0.2974,9202.36704853
1627313460000,0.2975,0.298,0.2955,0.2955,9713.90874781
1627313520000,0.2958,0.2966,0.2913,0.2913,17302.60323035
1627313580000,0.2913,0.2913,0.2814,0.2814,35853.56928415
1627313640000,0.2814,0.2816,0.275,0.276,69221.9322438
1627313700000,0.2765,0.278,0.261,0.2719,129747.42011872
1627313760000,0.2725,0.275,0.266,0.2669,49491.35323712
1627313820000,0.2669,0.27,0.2571,0.2572,87460.62826878
1627313880000,0.2572,0.284,0.2556,0.284,143435.81109233
1627313940000,0.284,0.2889,0.268,0.2792,34750.11475668
1627314000000,0.2792,0.2792,0.2667,0.268,16426.59572854
1627314060000,0.27,0.27,0.2589,0.2589,46320.83964606
1627314120000,0.259,0.274,0.2582,0.274,46726.99083521
1627314180000,0.2725,0.2765,0.2676,0.2676,17367.82810463
1627314240000,0.2675,0.2675,0.26,0.267,16236.53953721
1627314300000,0.2662,0.2722,0.2662,0.2693,37160.05801809
1627314360000,0.2701,0.28,0.2701,0.2783,72506.39893604
1627314420000,0.2783,0.2783,0.266,0.2688,24935.13122336
1627314480000,0.2688,0.2817,0.2688,0.272,37423.35691904
1627314540000,0.2739,0.281,0.2701,0.2778,22383.87659378
1627314600000,0.278,0.2835,0.2751,0.281,40434.99607014
1627314660000,0.281,0.2818,0.2777,0.2818,20741.00450253
1627314720000,0.2818,0.288,0.281,0.2832,39309.62549966
1627314780000,0.2823,0.29,0.2819,0.29,31581.83743638
1627314840000,0.2901,0.309,0.29,0.295,74933.60336733
1627314900000,0.295,0.295,0.288,0.288,74708.5618751
1627314960000,0.2881,0.2885,0.284,0.288,15407.88851731
1627315020000,0.288,0.29,0.284,0.2852,14131.72159752
1627315080000,0.285,0.285,0.2811,0.282,17374.83956604
1627315140000,0.282,0.2894,0.282,0.2879,20040.79058416
1627315200000,0.288,0.291,0.286,0.286,36345.3082532
1627315260000,0.2868,0.29,0.286,0.2886,18454.70856229
1627315320000,0.2886,0.2948,0.2885,0.2948,21972.62307144
1627315380000,0.293,0.2972,0.2917,0.2972,26494.56882303
1627315440000,0.2972,0.3,0.2955,0.3,43348.94642936
1627315500000,0.3001,0.305,0.3,0.305,50177.29400382
1627315560000,0.3051,0.3089,0.305,0.3083,43231.70507106
1627315620000,0.3089,0.3172,0.3072,0.3149,73143.1600983
1627315680000,0.3149,0.315,0.301,0.3044,57376.09106271
1627315740000,0.3047,0.31,0.3042,0.3053,12812.79024696
1627315800000,0.3053,0.3053,0.2942,0.2947,49211.42522832
1627315860000,0.296,0.2984,0.2856,0.2901,45722.87276661
1627315920000,0.2902,0.2979,0.2902,0.2945,11958.66182207
1627315980000,0.2945,0.2999,0.2916,0.2931,12032.43545075
1627316040000,0.2948,0.2999,0.2924,0.2924,8246.02738522
1627316100000,0.2945,0.2947,0.2895,0.2913,8371.46344662
1627316160000,0.2913,0.2915,0.287,0.287,19021.62518855
1627316220000,0.287,0.2944,0.2864,0.2944,21225.10476818
1627316280000,0.2943,0.2944,0.294,0.2944,9467.37543921
1627316340000,0.2944,0.2977,0.294,0.2966,8628.1345677
1627316400000,0.2966,0.2967,0.2944,0.2949,5385.42758515
1627316460000,0.2949,0.2949,0.2902,0.2902,4743.34956587
1627316520000,0.2908,0.2924,0.284,0.2852,53328.38531486
1627316580000,0.2852,0.2852,0.2791,0.2801,23866.17442816
1627316640000,0.2801,0.2845,0.279,0.2845,7727.92762447
1627316700000,0.2832,0.285,0.2832,0.285,2799.0005
1627316760000,0.2848,0.2849,0.2832,0.2832,6162.52142467
1627316820000,0.2832,0.285,0.2766,0.2766,23738.73195991
1627316880000,0.2769,0.2774,0.2727,0.2728,57996.88831696
1627316940000,0.2725,0.2744,0.2701,0.2732,24409.54328884
1627317000000,0.2733,0.275,0.272,0.274,18403.10501293
1627317060000,0.2733,0.2778,0.2727,0.2778,7848.65687767
1627317120000,0.2778,0.2805,0.2728,0.2771,14234.44443198
1627317180000,0.2772,0.278,0.2771,0.278,2568.2928
1627317240000,0.2773,0.2821,0.2772,0.28,9945.54930658
1627317300000,0.2817,0.2858,0.2773,0.284,31039.27232134
1627317360000,0.2844,0.2955,0.2844,0.2943,37138.82962714
1627317420000,0.2943,0.2979,0.29,0.2973,27160.07879266
1627317480000,0.297,0.3026,0.297,0.3016,59233.67075515
1627317540000,0.3006,0.3015,0.29,0.2912,23665.45896751
1627317600000,0.2917,0.2922,0.29,0.2918,16962.12662328
1627317660000,0.292,0.2935,0.284,0.284,39908.9837363
