timestamp,open,high,low,close,volume
1636380000000,0.035,0.55,0.035,0.5431,5262993.7579
1636380060000,0.5431,0.678,0.5,0.55,6013793.76570854
1636380120000,0.5473,0.55,0.4,0.4,2869291.52390599
1636380180000,0.4034,0.4202,0.36,0.3724,1458501.55802268
1636380240000,0.3711,0.4185,0.371,0.4002,1200552.84937693
1636380300000,0.4002,0.4814,0.3903,0.42,1963338.19135402
1636380360000,0.42,0.47,0.4103,0.4333,2044579.77300478
1636380420000,0.4401,0.4492,0.4056,0.4058,1862545.76033347
1636380480000,0.4058,0.4199,0.38,0.38,1234024.49044698
1636380540000,0.3801,0.419,0.38,0.3876,930843.82764217
1636380600000,0.3876,0.405,0.354,0.3603,1858026.38232269
1636380660000,0.3642,0.3758,0.354,0.3754,784638.76770216
1636380720000,0.3754,0.3899,0.3745,0.3821,635651.81283454
1636380780000,0.3774,0.3822,0.376,0.3803,629899.67650054
1636380840000,0.3802,0.382,0.3695,0.37,655329.05382695
1636380900000,0.3701,0.3777,0.354,0.367,553389.74552468
1636380960000,0.367,0.3679,0.3232,0.352,1314651.25574903
1636381020000,0.352,0.3558,0.3322,0.3333,687624.6149974
1636381080000,0.3332,0.3336,0.311,0.3217,1068382.56257874
1636381140000,0.326,0.3488,0.3217,0.3386,757633.5614378
1636381200000,0.3386,0.3399,0.3217,0.33,640972.77004564
1636381260000,0.3298,0.3322,0.314,0.3169,853809.00629266
1636381320000,0.3169,0.3228,0.2999,0.2999,1080852.37340018
1636381380000,0.3,0.3145,0.2912,0.3085,1028510.31965185
1636381440000,0.3071,0.32,0.296,0.3186,1029824.37915799
1636381500000,0.3187,0.33,0.3001,0.3014,1115038.03313112
1636381560000,0.304,0.3225,0.3013,0.3147,1376244.01697027
1636381620000,0.3112,0.324,0.305,0.31,719315.53141185
1636381680000,0.3119,0.3204,0.303,0.316,565880.22940246
1636381740000,0.316,0.32,0.301,0.3105,517168.51155521
1636381800000,0.3105,0.315,0.302,0.3073,657158.85158937
1636381860000,0.3074,0.3117,0.296,0.3,541267.35333368
1636381920000,0.2983,0.3149,0.2955,0.3075,225175.66373341
1636381980000,0.3025,0.3128,0.301,0.3057,196162.8332654
1636382040000,0.3085,0.333,0.3085,0.33,582764.82693962
1636382100000,0.333,0.349,0.33,0.3459,754525.74238977
1636382160000,0.346,0.3469,0.3201,0.3348,511981.31944369
1636382220000,0.332,0.34,0.3111,0.3242,1037450.51696234
1636382280000,0.3242,0.33,0.3135,0.3169,315759.32740319
1636382340000,0.3169,0.32,0.3153,0.3199,259267.23336927
1636382400000,0.32,0.32,0.3,0.308,956799.02502529
1636382460000,0.3079,0.3195,0.3053,0.314,319503.9101992
1636382520000,0.3137,0.319,0.31,0.3102,561477.39236564
1636382580000,0.31,0.3155,0.306,0.3125,360427.13837675
1636382640000,0.3117,0.3126,0.307,0.3072,359682.45171424
1636382700000,0.3071,0.31,0.3061,0.3086,478963.18521536
1636382760000,0.3086,0.3091,0.3,0.3051,425342.92775665
1636382820000,0.305,0.309,0.3028,0.3051,160524.35318065
1636382880000,0.3059,0.3099,0.305,0.3085,260370.25455133
1636382940000,0.3086,0.319,0.3086,0.3122,589229.89967764
1636383000000,0.312,0.3131,0.308,0.3085,266646.3976184
1636383060000,0.308,0.3088,0.3052,0.3072,89920.29410057
1636383120000,0.307,0.31,0.3051,0.3088,126301.14403357
1636383180000,0.3087,0.313,0.302,0.3023,492182.5959831
1636383240000,0.3024,0.3074,0.302,0.3055,227803.41689276
1636383300000,0.3055,0.3113,0.3044,0.3089,507249.84341433
1636383360000,0.3087,0.3104,0.293,0.293,1247176.00515551
1636383420000,0.2931,0.2971,0.2912,0.2932,288110.76081231
1636383480000,0.2932,0.2932,0.277,0.2861,906319.21194727
1636383540000,0.2861,0.288,0.282,0.2864,216948.35441563
1636383600000,0.2864,0.292,0.2857,0.2877,218778.00760984
1636383660000,0.2877,0.2901,0.2775,0.2875,343786.83010829
1636383720000,0.2875,0.2919,0.2845,0.2914,357975.18938564
1636383780000,0.2913,0.2985,0.2904,0.2985,246878.62513625
1636383840000,0.2985,0.3,0.29,0.2909,354515.8673095
1636383900000,0.2901,0.298,0.29,0.2941,137027.72178751
1636383960000,0.2941,0.2941,0.285,0.285,272174.68376946
1636384020000,0.2851,0.299,0.285,0.2891,162476.44701557
1636384080000,0.289,0.296,0.289,0.2913,175064.90156503
1636384140000,0.2912,0.2928,0.2911,0.2926,80733.84271341
1636384200000,0.2921,0.298,0.2917,0.2935,122322.91856563
1636384260000,0.2923,0.2945,0.289,0.289,230599.79207
1636384320000,0.289,0.291,0.2813,0.282,235939.76819427
1636384380000,0.282,0.285,0.2729,0.28,503101.08066047
1636384440000,0.28,0.28,0.2731,0.2745,209806.78837571
1636384500000,0.2745,0.283,0.2742,0.2827,355998.89785787
1636384560000,0.282,0.2828,0.275,0.2764,166588.01652287
1636384620000,0.2765,0.2831,0.275,0.2813,224174.46068279
1636384680000,0.2813,0.284,0.2813,0.2821,120552.88698503
1636384740000,0.2821,0.2821,0.278,0.2797,85981.39052345
1636384800000,0.2797,0.2819,0.2797,0.2816,136951.6897316
1636384860000,0.2819,0.284,0.2815,0.2839,116191.08013701
1636384920000,0.2827,0.2871,0.2825,0.2856,134031.61343955
1636384980000,0.285,0.2851,0.2807,0.2808,113039.61590335
1636385040000,0.2808,0.2832,0.2807,0.2811,97209.08330252
1636385100000,0.2811,0.2849,0.281,0.2816,101881.31044818
1636385160000,0.2815,0.2832,0.2626,0.2626,541384.76988234
1636385220000,0.2627,0.2792,0.2626,0.2658,236837.67636374
1636385280000,0.2659,0.268,0.2658,0.2679,246986.54215243
1636385340000,0.2678,0.27,0.2671,0.2685,125653.37933377
1636385400000,0.269,0.27,0.2685,0.27,177983.24431135
1636385460000,0.27,0.28,0.2695,0.278,192612.82102516
1636385520000,0.2779,0.2779,0.27,0.2707,111488.39210452
1636385580000,0.2707,0.2707,0.2658,0.2689,120655.95000884
1636385640000,0.2685,0.275,0.2663,0.27,160159.55485869
1636385700000,0.2705,0.2711,0.265,0.2651,89587.92315023
1636385760000,0.2661,0.269,0.265,0.2662,135405.01894706
1636385820000,0.2662,0.2699,0.266,0.2679,108754.90753158
1636385880000,0.2688,0.2699,0.2654,0.2654,117344.2525757
1636385940000,0.2654,0.2654,0.2554,0.2555,294831.05451617
1636386000000,0.2555,0.26,0.2554,0.2572,300899.98604298
1636386060000,0.2572,0.2623,0.257,0.2617,254758.84206271
1636386120000,0.2617,0.2638,0.2602,0.2631,172654.22740312
1636386180000,0.2633,0.2663,0.2631,0.2655,158974.36140014
1636386240000,0.2656,0.275,0.2656,0.2737,308568.5310083
1636386300000,0.2737,0.28,0.27,0.274,356307.90704937
1636386360000,0.274,0.2749,0.2689,0.271,135970.30680862
1636386420000,0.2712,0.2779,0.2712,0.2763,133561.44687233
1636386480000,0.276,0.2788,0.275,0.2751,138003.74708354
1636386540000,0.2752,0.2752,0.2699,0.2714,129764.68466761
1636386600000,0.2702,0.2782,0.2699,0.2771,113182.65564169
1636386660000,0.2769,0.28,0.275,0.2785,161714.74820968
1636386720000,0.2785,0.29,0.2773,0.2887,446987.15865062
1636386780000,0.2887,0.294,0.281,0.2822,468185.6036857
1636386840000,0.2825,0.2959,0.2825,0.2936,310046.67979107
1636386900000,0.2948,0.3,0.2835,0.2909,408886.87865224
1636386960000,0.2909,0.2999,0.2832,0.2925,266042.44864197
1636387020000,0.2916,0.299,0.29,0.2952,314696.12050228
1636387080000,0.2959,0.2999,0.295,0.2985,303686.28615056
1636387140000,0.2985,0.3048,0.2978,0.3048,491077.64267869
1636387200000,0.3048,0.3058,0.2916,0.2942,463017.44702461
1636387260000,0.2942,0.3035,0.278,0.293,414953.14142385
1636387320000,0.2918,0.298,0.285,0.2852,292657.31912338
1636387380000,0.2851,0.295,0.2818,0.2831,218036.2714062
1636387440000,0.2831,0.29,0.283,0.2877,251355.83697086
