timestamp,open,high,low,close,volume
1624406400000,10.0,50.0,3.5036,4.9971,14279.10200509
1624406460000,4.9964,4.9998,1.0,1.8001,36440.50025614
1624406520000,1.8002,2.4996,1.5,1.8102,26399.25215496
1624406580000,1.8102,1.8103,1.6,1.6298,8936.68142874
1624406640000,1.6298,2.4,1.6298,2.2999,2731.46045443
1624406700000,2.2,3.4,2.2,2.9997,12382.60116344
1624406760000,2.99,2.99,1.8,1.8,11284.03524578
1624406820000,1.86,1.86,1.1505,1.2003,28784.84249106
1624406880000,1.2005,1.4,1.1273,1.1999,20307.45219004
1624406940000,1.1999,1.3,1.1985,1.2499,8494.78936802
1624407000000,1.2003,1.3,1.1273,1.1273,23127.36950268
1624407060000,1.1273,1.1528,1.1,1.1357,9054.05073795
1624407120000,1.1306,1.1306,1.022,1.0301,16501.22439564
1624407180000,1.04,1.131,1.04,1.1128,17765.08910289
1624407240000,1.113,1.1509,1.065,1.1406,30435.78736746
1624407300000,1.1348,1.2063,1.1012,1.2063,4584.88324287
1624407360000,1.2001,1.2102,1.1594,1.1594,14777.01531603
1624407420000,1.1571,1.21,1.1571,1.19,20458.34681811
1624407480000,1.19,1.2502,1.17,1.17,4419.05531848
1624407540000,1.17,1.1806,1.17,1.1796,5718.16319182
1624407600000,1.1801,1.1921,1.1801,1.1901,11845.08581762
1624407660000,1.2299,1.2506,1.2002,1.2336,37295.0112
1624407720000,1.2275,1.2406,1.2213,1.2345,20206.35318116
1624407780000,1.2392,1.2496,1.2345,1.2496,1353.52490696
1624407840000,1.2494,1.2501,1.2494,1.2496,1126.7991
1624407900000,1.2434,1.2494,1.2347,1.2371,15049.01406624
1624407960000,1.2372,1.2383,1.2371,1.2372,8711.279
1624408020000,1.2372,1.2372,1.2315,1.232,4390.9455
1624408080000,1.2316,1.2355,1.2315,1.2355,528.39065115
1624408140000,1.233,1.2355,1.2316,1.232,670.51431729
1624408200000,1.2339,1.2357,1.2321,1.235,374.01805836
1624408260000,1.2369,1.2372,1.2369,1.2372,819.780315
1624408320000,1.2378,1.2378,1.2378,1.2378,1603.88851964
1624408380000,1.2352,1.2352,1.2181,1.2251,10484.76481427
1624408440000,1.2252,1.2256,1.2252,1.2256,51.0005
1624408500000,1.2256,1.2256,1.2181,1.2256,3295.1998
1624408560000,1.2232,1.2236,1.2206,1.2206,1402.95642485
1624408620000,1.2206,1.2226,1.2206,1.2226,91.3644
1624408680000,1.2235,1.2235,1.2042,1.2042,15260.77018169
1624408740000,1.2042,1.2045,1.2011,1.2011,4420.7748
1624408800000,1.2012,1.2012,1.1758,1.176,24020.6382
1624408860000,1.1759,1.1759,1.167,1.167,8091.5372
1624408920000,1.167,1.1701,1.167,1.1671,292.4934
1624408980000,1.167,1.1727,1.167,1.1727,4441.26132791
1624409040000,1.1742,1.1907,1.1742,1.1836,17045.42
1624409100000,1.1838,1.1888,1.1838,1.1888,798.3209
1624409160000,1.1877,1.2032,1.1839,1.2032,20904.83941483
1624409220000,1.1874,1.1973,1.1874,1.1973,628.04712807
1624409280000,1.1976,1.1976,1.14,1.1815,28894.72798293
1624409340000,1.1771,1.1809,1.1771,1.1809,400.759
1624409400000,1.1831,1.1875,1.181,1.1837,3983.3088
1624409460000,1.1838,1.1838,1.183,1.183,1098.15508262
1624409520000,1.1857,1.186,1.1801,1.1829,5604.4636
1624409580000,1.1806,1.1831,1.1805,1.1831,1084.8664
1624409640000,1.1831,1.1858,1.1745,1.1745,7048.7551
1624409700000,1.1804,1.1804,1.16,1.1624,17157.7436
1624409760000,1.1661,1.1662,1.1301,1.133,32650.93
1624409820000,1.133,1.133,1.1186,1.1186,11398.1243
1624409880000,1.1202,1.1239,1.1166,1.1166,4949.59182453
1624409940000,1.12,1.1208,1.1127,1.1127,3578.5522
1624410000000,1.1183,1.1249,1.1098,1.1185,18482.32412593
1624410060000,1.1175,1.123,1.1175,1.1185,5868.38067333
1624410120000,1.1186,1.1186,1.1185,1.1186,329.91258995
1624410180000,1.1233,1.1234,1.1188,1.1188,234.1082
1624410240000,1.1187,1.1233,1.1185,1.1233,970.46143568
1624410300000,1.1186,1.1229,1.1128,1.12,388.98707691
1624410360000,1.1199,1.1203,1.1149,1.115,529.6927
1624410420000,1.115,1.1301,1.1149,1.1244,16842.47392461
1624410480000,1.1286,1.1286,1.1212,1.1212,9361.63559126
1624410540000,1.1203,1.1204,1.1149,1.1149,5929.8411
1624410600000,1.1149,1.115,1.0,1.0001,25511.4735
1624410660000,1.0,1.0,0.92,0.92,5404.76310022
