timestamp,open,high,low,close,volume
1632387600000,0.448,0.66,0.448,0.6316,26241.7183
1632387660000,0.6319,0.75,0.6316,0.6444,107213.21931106
1632387720000,0.642,0.6472,0.6378,0.6469,19116.7147643
1632387780000,0.6469,0.6499,0.641,0.645,13420.41074467
1632387840000,0.6427,0.645,0.64,0.64,9012.24088957
1632387900000,0.64,0.6521,0.6392,0.6443,27897.04515
1632387960000,0.6445,0.6499,0.6401,0.646,10615.26441451
1632388020000,0.6467,0.6479,0.642,0.6424,5362.52152202
1632388080000,0.6424,0.6433,0.6401,0.6431,7327.10241319
1632388140000,0.6431,0.6431,0.6422,0.6423,2677.0994
1632388200000,0.6432,0.6477,0.6432,0.647,4704.04690311
1632388260000,0.6469,0.6496,0.642,0.6496,3899.13081436
1632388320000,0.6496,0.65,0.6496,0.65,5630.23230156
1632388380000,0.6514,0.6527,0.6496,0.6496,3093.31770156
1632388440000,0.6497,0.6498,0.6459,0.6459,749.6648
1632388500000,0.646,0.6476,0.6459,0.6459,255.96439796
1632388560000,0.6452,0.6452,0.6414,0.6414,3835.1863
1632388620000,0.6417,0.6432,0.6415,0.6432,5136.91064253
1632388680000,0.6426,0.6435,0.6426,0.6426,615.4823
1632388740000,0.6402,0.6406,0.64,0.64,4510.6529
1632388800000,0.64,0.6419,0.6385,0.6385,7373.20776486
1632388860000,0.6393,0.6393,0.6325,0.6343,8225.69753005
1632388920000,0.635,0.635,0.6329,0.6329,2916.24921574
1632388980000,0.6331,0.6345,0.6329,0.6331,1689.29212699
1632389040000,0.6332,0.6346,0.6332,0.6346,90.6739
1632389100000,0.6333,0.6346,0.6328,0.6346,2808.08241047
1632389160000,0.635,0.6372,0.6331,0.6333,2267.52226856
1632389220000,0.6329,0.6355,0.6329,0.6335,2078.1817
1632389280000,0.6337,0.6355,0.6337,0.6342,672.8718685
1632389340000,0.6338,0.6338,0.6338,0.6338,17.84395708
1632389400000,0.634,0.6369,0.634,0.6369,1102.89792196
1632389460000,0.6366,0.6367,0.6359,0.6359,471.18007194
