timestamp,open,high,low,close,volume
1636725600000,0.028,2.8,0.028,2.8,347346.8449
1636725660000,2.8,2.8,2.8,2.8,28276.8423
1636725720000,2.8,22.0,2.8,3.5999,406947.4553813
1636725780000,3.5999,5.6,3.5004,4.6013,327734.77194273
1636725840000,4.6013,4.6013,4.04,4.55,142790.19872013
1636725900000,4.5,4.55,3.99,4.0915,185283.01443023
1636725960000,4.0002,4.4531,4.0001,4.3507,116890.96954779
1636726020000,4.39,4.4531,4.1,4.22,99739.1867235
1636726080000,4.22,4.7999,4.2102,4.7999,153052.5959432
1636726140000,4.61,5.5,4.61,5.2997,167754.89097694
1636726200000,5.22,7.0,5.2,6.3998,188325.60835228
1636726260000,6.3005,6.3998,4.3204,5.9599,169949.72777856
1636726320000,5.9,6.0,5.0,5.2001,73366.07095441
1636726380000,5.24,6.3998,5.2001,5.6995,93058.34204145
1636726440000,5.6017,6.0,5.6017,5.9336,39404.61669661
1636726500000,5.9593,5.9598,5.2,5.5,55530.99929649
1636726560000,5.5,5.75,5.31,5.5,45125.17369267
1636726620000,5.5001,5.5501,5.2,5.2998,70958.56497913
1636726680000,5.2998,5.3,4.99,4.99,92826.09420089
1636726740000,4.99,5.0,4.5,4.5688,135632.00911615
1636726800000,4.5689,4.569,4.2,4.5238,118153.59641727
1636726860000,4.5238,4.569,4.1001,4.3232,133541.31916566
1636726920000,4.32,4.3999,4.12,4.165,68465.76387313
1636726980000,4.1699,4.19,3.6,3.606,215593.63661136
1636727040000,3.63,4.4,3.606,4.2599,102791.32481879
1636727100000,4.2599,4.26,3.85,3.8987,48283.71597974
1636727160000,3.8988,4.0,3.85,3.9899,28579.73047777
1636727220000,3.9899,4.1,3.77,3.9611,104135.88946835
1636727280000,3.9695,3.9696,3.6001,3.6001,65203.04977102
1636727340000,3.6001,3.6243,3.33,3.5001,153978.85704879
1636727400000,3.5999,3.5999,2.9,3.0,284954.82403687
1636727460000,3.0,3.1296,2.8,3.1295,173176.02805035
1636727520000,3.1296,3.39,2.9,2.9319,97903.94104878
1636727580000,2.9319,2.95,2.7,2.83,139731.62442015
1636727640000,2.8,2.8304,2.25,2.389,283318.64398375
1636727700000,2.389,2.389,1.6,1.8,573675.1842453
1636727760000,1.7999,2.2,1.5,1.95,272077.36702815
1636727820000,1.95,2.39,1.9002,2.2289,256005.08497609
1636727880000,2.214,2.2474,1.85,1.881,239996.20929353
1636727940000,1.881,2.0,1.8,1.8359,120759.47550064
1636728000000,1.822,1.9,1.8,1.8672,101567.43176067
1636728060000,1.8701,2.0995,1.822,1.9514,236256.89479714
1636728120000,1.9514,1.96,1.85,1.9002,102473.62504656
1636728180000,1.9002,1.9002,1.8,1.8133,143128.94276565
1636728240000,1.8102,1.8201,1.65,1.6751,288246.75111311
1636728300000,1.69,1.7,1.62,1.6709,190930.5835053
1636728360000,1.6709,1.6709,1.5,1.5,310939.12815922
1636728420000,1.5,1.505,1.19,1.2598,1032349.65984512
1636728480000,1.2598,1.2751,1.15,1.2433,413912.76524058
1636728540000,1.2433,1.3124,1.13,1.13,427402.69190338
1636728600000,1.1495,1.25,1.1,1.2001,330261.75452707
1636728660000,1.2001,1.4825,1.18,1.3999,395342.22441164
1636728720000,1.3886,1.4439,1.2006,1.32,268645.06349278
1636728780000,1.3312,1.376,1.1888,1.21,341628.57434605
1636728840000,1.21,1.277,1.1888,1.277,257205.30368926
1636728900000,1.2768,1.37,1.2205,1.2348,189799.705952
1636728960000,1.2389,1.3214,1.21,1.3105,117732.60202579
1636729020000,1.3214,1.3499,1.2484,1.2859,118121.74661914
1636729080000,1.2859,1.3,1.12,1.1556,352713.47809743
1636729140000,1.1503,1.1576,1.023,1.1164,458987.9255562
1636729200000,1.1108,1.2,1.09,1.1393,182282.12984272
1636729260000,1.1393,1.15,1.1,1.1499,226623.61791014
1636729320000,1.1499,1.244,1.1456,1.1772,270166.75252067
1636729380000,1.1752,1.2,1.16,1.1995,161302.53184581
1636729440000,1.1994,1.1997,1.1785,1.19,69282.53947953
1636729500000,1.19,1.19,1.1,1.1396,163447.61891804
1636729560000,1.1388,1.182,1.1354,1.1587,85105.09284221
1636729620000,1.156,1.19,1.156,1.179,151635.07849112
1636729680000,1.1798,1.308,1.17,1.308,290195.45885099
1636729740000,1.308,1.308,1.2016,1.2448,164985.73304494
1636729800000,1.25,1.3598,1.25,1.3598,261164.42056134
1636729860000,1.3596,1.45,1.35,1.3968,299765.79479871
1636729920000,1.3901,1.3997,1.35,1.36,120770.77610756
1636729980000,1.36,1.5198,1.3598,1.48,337411.3375026
1636730040000,1.48,1.54,1.45,1.5289,220850.63417618
1636730100000,1.5289,1.6499,1.52,1.636,228634.24014906
1636730160000,1.636,1.64,1.4555,1.568,330399.74477426
1636730220000,1.568,1.568,1.45,1.4575,117827.79035851
1636730280000,1.4575,1.568,1.45,1.5599,126454.53540994
1636730340000,1.5598,1.56,1.49,1.52,94378.97450898
1636730400000,1.52,1.56,1.5167,1.555,65874.30353842
1636730460000,1.5599,1.6488,1.55,1.6278,114617.60969512
1636730520000,1.6202,1.69,1.6002,1.6899,216077.70528433
1636730580000,1.6898,1.77,1.6,1.64,374148.41869543
1636730640000,1.64,1.74,1.61,1.6695,177867.92850281
1636730700000,1.6856,1.706,1.65,1.65,98127.95581166
1636730760000,1.66,1.6699,1.5,1.548,172184.89136343
1636730820000,1.548,1.58,1.442,1.4901,122523.09750648
1636730880000,1.4903,1.54,1.48,1.513,81039.84715678
1636730940000,1.51,1.5134,1.39,1.4124,189316.94753911
1636731000000,1.4124,1.479,1.38,1.469,152507.29086206
1636731060000,1.469,1.59,1.469,1.5556,120181.91181252
1636731120000,1.5526,1.5595,1.4,1.4938,106208.43120818
1636731180000,1.5,1.5497,1.4938,1.53,48638.42117949
1636731240000,1.5298,1.6,1.51,1.5794,102901.18722737
1636731300000,1.5681,1.57,1.461,1.5,77046.75170916
1636731360000,1.5,1.5409,1.4712,1.5199,57141.70891327
1636731420000,1.5136,1.5136,1.4599,1.4647,69690.32498167
1636731480000,1.4647,1.4707,1.43,1.4572,106394.32681138
1636731540000,1.4571,1.47,1.42,1.4425,50863.89509408
1636731600000,1.4488,1.45,1.41,1.4329,63867.58370383
1636731660000,1.4353,1.5136,1.4226,1.502,81770.95595621
1636731720000,1.4956,1.5025,1.44,1.4493,69838.40327786
1636731780000,1.4494,1.489,1.4437,1.48,25812.78718358
1636731840000,1.48,1.4994,1.43,1.45,67237.74290321
1636731900000,1.4523,1.4552,1.39,1.43,141655.48732232
1636731960000,1.43,1.44,1.4,1.4,64881.7051303
1636732020000,1.4,1.43,1.37,1.425,128539.21087424
1636732080000,1.425,1.43,1.3885,1.4007,42100.22741301
1636732140000,1.407,1.43,1.3753,1.39,58689.62460948
1636732200000,1.3904,1.3935,1.3,1.351,213487.87384532
1636732260000,1.3508,1.36,1.3101,1.3101,106163.14312085
1636732320000,1.3101,1.38,1.27,1.3652,144361.43257842
1636732380000,1.37,1.38,1.3219,1.3225,37271.95394461
1636732440000,1.3236,1.36,1.2985,1.3002,70379.12744916
1636732500000,1.3096,1.35,1.303,1.3477,37872.35233385
1636732560000,1.3499,1.35,1.3102,1.3278,40911.58150436
1636732620000,1.3201,1.3943,1.32,1.3943,70058.52739566
1636732680000,1.386,1.445,1.38,1.4075,140763.34102273
1636732740000,1.4098,1.452,1.4098,1.4226,136600.14572812
1636732800000,1.4288,1.45,1.37,1.41,105586.22870247
1636732860000,1.41,1.4288,1.36,1.3975,46448.93809622
1636732920000,1.3974,1.3974,1.34,1.343,48419.07049563
1636732980000,1.3506,1.368,1.3398,1.368,42911.50029388
1636733040000,1.368,1.3715,1.3566,1.37,19719.84205981
1636733100000,1.37,1.4197,1.3699,1.4166,56631.80882325
1636733160000,1.4167,1.4648,1.4159,1.4607,74466.19359507
1636733220000,1.4608,1.465,1.4,1.4301,95045.09582336
1636733280000,1.4297,1.4616,1.4297,1.4369,84101.58520942
1636733340000,1.4368,1.44,1.4,1.4,31297.59661636
1636733400000,1.4,1.44,1.397,1.44,34290.92073242
1636733460000,1.4399,1.4902,1.4366,1.4495,117157.23544327
1636733520000,1.4495,1.4718,1.4253,1.4338,55108.43472898
1636733580000,1.4311,1.475,1.4272,1.475,55784.39640778
1636733640000,1.4749,1.475,1.4472,1.4499,31471.45124342
1636733700000,1.448,1.475,1.4466,1.472,52327.1675108
1636733760000,1.472,1.4774,1.45,1.45,62239.02253574
1636733820000,1.4568,1.4568,1.42,1.426,27360.11629258
