timestamp,open,high,low,close,volume
1636696800000,0.1,0.215,0.1,0.1937,891543.7216
1636696860000,0.194,0.22,0.1936,0.216,968805.35358557
1636696920000,0.2179,0.2198,0.2147,0.215,209324.00269352
1636696980000,0.215,0.215,0.191,0.2,483136.50381636
1636697040000,0.2078,0.208,0.1992,0.1999,135406.95510011
1636697100000,0.1994,0.1999,0.191,0.195,146017.93636644
1636697160000,0.1949,0.1949,0.1912,0.1934,26615.08663218
1636697220000,0.1933,0.1934,0.19,0.1921,108139.06848529
1636697280000,0.1929,0.1934,0.1896,0.1896,98226.59979996
1636697340000,0.1887,0.1915,0.175,0.1831,298869.42081491
1636697400000,0.183,0.1889,0.1821,0.1889,61362.18711477
1636697460000,0.1889,0.1889,0.177,0.177,201159.42020945
1636697520000,0.1781,0.185,0.1781,0.18,68896.75160254
1636697580000,0.18,0.18,0.179,0.1798,47689.83273225
1636697640000,0.1795,0.1824,0.1791,0.1821,58664.81747259
1636697700000,0.182,0.2089,0.182,0.2076,330167.95977584
1636697760000,0.1948,0.207,0.1919,0.2,259479.24466598
1636697820000,0.2,0.203,0.1991,0.1991,144839.67925584
1636697880000,0.1992,0.203,0.1992,0.203,24807.59473828
1636697940000,0.203,0.209,0.2014,0.2088,114480.4442155
1636698000000,0.2088,0.219,0.2088,0.2174,149610.5113172
1636698060000,0.2163,0.2197,0.216,0.2177,139282.49422869
1636698120000,0.2175,0.2177,0.2006,0.214,135494.68380551
1636698180000,0.214,0.214,0.2111,0.214,33341.62764573
1636698240000,0.214,0.214,0.2125,0.2128,57831.83799739
1636698300000,0.2128,0.2128,0.1851,0.1932,292815.87859648
1636698360000,0.1937,0.21,0.1937,0.2088,98024.20572583
1636698420000,0.2088,0.2088,0.197,0.206,45311.8493023
1636698480000,0.2045,0.2045,0.2,0.2,23093.46087317
1636698540000,0.1998,0.202,0.1974,0.1976,13984.61181374
1636698600000,0.2003,0.2003,0.1976,0.198,17142.46282026
1636698660000,0.198,0.2029,0.1975,0.2025,103686.87902289
1636698720000,0.2025,0.2042,0.2025,0.204,36903.75689811
1636698780000,0.2027,0.2027,0.192,0.1952,68405.66258574
1636698840000,0.197,0.203,0.1961,0.2005,40273.14677409
1636698900000,0.2029,0.203,0.197,0.2029,63317.07704976
1636698960000,0.2012,0.2045,0.1933,0.2043,137091.16142818
1636699020000,0.1999,0.205,0.1938,0.1997,122960.32472882
1636699080000,0.1998,0.1998,0.1921,0.1971,102493.11729817
1636699140000,0.197,0.203,0.1961,0.1988,19773.20701902
1636699200000,0.1989,0.1989,0.1963,0.1969,6472.13946
1636699260000,0.1969,0.1969,0.195,0.1951,11915.81956449
1636699320000,0.1967,0.197,0.1938,0.1938,37673.26112622
1636699380000,0.1941,0.196,0.187,0.19,66408.13467008
1636699440000,0.1898,0.1943,0.185,0.1853,97973.81874652
1636699500000,0.1853,0.1892,0.1851,0.1892,44960.82136325
1636699560000,0.1897,0.193,0.1893,0.193,30123.25974359
1636699620000,0.193,0.197,0.193,0.1949,40249.03364111
1636699680000,0.1969,0.198,0.195,0.1971,23228.52258061
1636699740000,0.1979,0.198,0.1955,0.1956,15443.05925028
1636699800000,0.1957,0.1975,0.1956,0.1975,5524.71316882
1636699860000,0.1975,0.1991,0.195,0.199,34426.02905854
1636699920000,0.199,0.1997,0.191,0.199,16088.08548914
1636699980000,0.199,0.1999,0.199,0.1998,12948.02407048
1636700040000,0.1998,0.1999,0.1992,0.1992,18990.46367528
1636700100000,0.1998,0.2,0.1912,0.1998,14802.28734917
1636700160000,0.197,0.1971,0.1922,0.197,8077.56708845
1636700220000,0.197,0.197,0.1925,0.1952,10516.60731297
1636700280000,0.1969,0.1971,0.1952,0.196,1675.51497541
1636700340000,0.1971,0.1971,0.1951,0.197,15349.75077583
1636700400000,0.1969,0.1988,0.1969,0.1988,15670.52518299
1636700460000,0.1988,0.2,0.1972,0.2,59194.35707312
1636700520000,0.2,0.2,0.1989,0.1989,29900.4778
1636700580000,0.1999,0.2,0.1991,0.1999,39989.89153795
1636700640000,0.2,0.2,0.1972,0.1989,39517.68844061
1636700700000,0.1989,0.1989,0.1972,0.1972,5246.29766283
1636700760000,0.1973,0.1989,0.1972,0.1989,11454.89173135
1636700820000,0.1988,0.2,0.1988,0.2,98160.59880014
1636700880000,0.1994,0.2,0.1994,0.2,7661.5159312
1636700940000,0.1995,0.2,0.1995,0.2,9287.71972921
1636701000000,0.2,0.2099,0.2,0.2099,445401.67258326
1636701060000,0.2099,0.21,0.2076,0.21,68008.11811826
1636701120000,0.21,0.21,0.2085,0.2091,91229.21074331
1636701180000,0.2089,0.2098,0.2085,0.2097,74381.74187766
1636701240000,0.2098,0.2098,0.1941,0.2067,72764.03780116
1636701300000,0.209,0.2091,0.2071,0.2071,8420.34512776
1636701360000,0.2071,0.2085,0.2071,0.208,17095.78613527
1636701420000,0.208,0.2083,0.2074,0.2082,35701.06994338
1636701480000,0.208,0.2082,0.2071,0.2075,18871.25732601
1636701540000,0.2075,0.2082,0.2071,0.2082,41934.65664846
1636701600000,0.2082,0.2082,0.2082,0.2082,20714.05308126
1636701660000,0.2082,0.2082,0.206,0.206,21173.53415978
1636701720000,0.2061,0.2069,0.2011,0.2039,30642.13760413
1636701780000,0.2023,0.2068,0.202,0.2059,17745.10729159
1636701840000,0.2031,0.2031,0.1931,0.1931,147154.24604158
1636701900000,0.1949,0.195,0.1934,0.195,11002.50500384
1636701960000,0.1937,0.195,0.1937,0.1941,38295.28703434
1636702020000,0.1949,0.195,0.1938,0.194,2886.89857501
1636702080000,0.1941,0.196,0.1941,0.196,49840.9997261
1636702140000,0.196,0.2069,0.1955,0.2022,49990.77867242
1636702200000,0.2056,0.2058,0.1942,0.2009,13676.93926522
1636702260000,0.2034,0.204,0.197,0.1975,19843.14765911
1636702320000,0.1989,0.205,0.1989,0.2003,17634.5998404
1636702380000,0.201,0.2045,0.1976,0.1976,14486.1324414
