timestamp,open,high,low,close,volume
1636016400000,0.42,0.66,0.42,0.561,132604.4305
1636016460000,0.5665,0.59,0.4889,0.5836,410536.00328287
1636016520000,0.5834,0.5834,0.557,0.5663,117661.66263423
1636016580000,0.5695,0.57,0.5551,0.5551,144922.55532254
1636016640000,0.5575,0.5576,0.5356,0.5576,178051.648604
1636016700000,0.5556,0.564,0.5484,0.5534,40837.99041721
1636016760000,0.5534,0.5602,0.5533,0.56,21031.12930313
1636016820000,0.5596,0.5599,0.5484,0.5506,49324.91328408
1636016880000,0.5501,0.5529,0.5405,0.5419,35171.07224316
1636016940000,0.5483,0.5483,0.5384,0.5384,32675.02835346
1636017000000,0.5385,0.5386,0.53,0.536,29747.78009544
1636017060000,0.5358,0.558,0.5326,0.5403,60328.49839523
1636017120000,0.5403,0.55,0.54,0.549,28342.52637732
1636017180000,0.5422,0.5489,0.5388,0.5398,28651.38520288
1636017240000,0.5398,0.5481,0.53,0.5389,12132.7106518
1636017300000,0.5305,0.5389,0.5235,0.5386,25046.8562173
1636017360000,0.5365,0.5476,0.5313,0.5355,33557.01644946
1636017420000,0.5355,0.5525,0.5355,0.5525,77082.95597731
1636017480000,0.5536,0.554,0.549,0.549,20441.15419675
1636017540000,0.5481,0.5534,0.5411,0.5427,5150.42287713
1636017600000,0.5498,0.5498,0.5429,0.5478,9800.77288917
1636017660000,0.548,0.5498,0.5454,0.5473,6903.12170433
1636017720000,0.5488,0.553,0.5425,0.5513,24441.39102991
1636017780000,0.5495,0.5506,0.5451,0.5451,4587.57747014
1636017840000,0.5452,0.5521,0.5452,0.5464,17349.60324135
1636017900000,0.551,0.551,0.5462,0.5473,3496.75569095
1636017960000,0.5504,0.5505,0.535,0.548,9147.66084109
1636018020000,0.5427,0.5467,0.5425,0.5437,10706.61095854
1636018080000,0.5459,0.5467,0.5438,0.5442,15213.95492265
1636018140000,0.5437,0.5437,0.531,0.54,17687.57740106
1636018200000,0.5391,0.5502,0.5331,0.5408,23307.89826929
1636018260000,0.5415,0.5501,0.5354,0.5365,39851.94315624
1636018320000,0.5493,0.5493,0.5356,0.5371,20599.89321714
1636018380000,0.5395,0.5395,0.5353,0.5353,2505.41851216
1636018440000,0.5357,0.5375,0.5261,0.5307,16344.39693696
1636018500000,0.5313,0.5356,0.526,0.53,12794.71773019
1636018560000,0.5269,0.5322,0.5267,0.5321,9435.40361459
1636018620000,0.5268,0.5316,0.5268,0.5305,6486.87843127
1636018680000,0.5305,0.535,0.53,0.5349,19988.97341274
1636018740000,0.5333,0.5379,0.522,0.522,40613.1673933
1636018800000,0.5306,0.5306,0.5222,0.5295,2084.88643918
1636018860000,0.5285,0.5292,0.5224,0.524,11114.41763776
1636018920000,0.5277,0.5288,0.5241,0.527,9797.3485176
1636018980000,0.5271,0.5299,0.524,0.5299,20454.34916458
1636019040000,0.5266,0.5348,0.5266,0.5348,2564.8519
1636019100000,0.5349,0.5351,0.5349,0.5349,12659.61431214
1636019160000,0.5348,0.5373,0.531,0.5331,5217.70415536
1636019220000,0.535,0.5367,0.5326,0.5367,8678.58619069
1636019280000,0.5362,0.5449,0.5357,0.5449,12664.71046154
1636019340000,0.5419,0.55,0.5404,0.5404,51421.31478356
1636019400000,0.5448,0.549,0.5405,0.5455,904.19073778
1636019460000,0.5439,0.5454,0.541,0.5454,29680.09548375
1636019520000,0.545,0.5484,0.5414,0.5429,13720.96828978
1636019580000,0.543,0.5477,0.5428,0.543,9809.81766931
1636019640000,0.5431,0.548,0.5407,0.5415,79610.00460704
1636019700000,0.5478,0.548,0.537,0.5428,19189.5605852
1636019760000,0.5409,0.5427,0.537,0.537,7738.17296331
1636019820000,0.537,0.5449,0.5252,0.5252,16847.9991173
1636019880000,0.5258,0.5449,0.5177,0.5201,28793.29111651
1636019940000,0.5201,0.5449,0.519,0.5268,25545.37322885
1636020000000,0.5269,0.5344,0.52,0.5331,7035.37059438
1636020060000,0.5268,0.532,0.5209,0.5211,2037.79097015
1636020120000,0.5212,0.5315,0.5211,0.53,37929.89921752
1636020180000,0.531,0.54,0.53,0.5395,20581.17252833
1636020240000,0.5395,0.5478,0.5301,0.5478,19002.07126179
1636020300000,0.5476,0.55,0.5401,0.5494,26623.4981903
1636020360000,0.5492,0.5492,0.53,0.53,17967.37204197
1636020420000,0.5302,0.541,0.5301,0.5349,14505.20623952
1636020480000,0.5349,0.535,0.5324,0.5324,1125.64691218
1636020540000,0.5347,0.5348,0.5305,0.5323,6793.81170866
1636020600000,0.5326,0.5345,0.5326,0.5345,7000.29571197
1636020660000,0.5344,0.5499,0.5344,0.5498,62715.13539886
1636020720000,0.5498,0.5498,0.5413,0.5413,34034.8334
1636020780000,0.5442,0.5486,0.5408,0.5486,16910.0865
1636020840000,0.5486,0.5486,0.5454,0.5485,3699.54269312
1636020900000,0.5485,0.5485,0.545,0.5457,1229.04509763
1636020960000,0.5481,0.5482,0.5463,0.547,3157.94158482
1636021020000,0.547,0.547,0.5468,0.5468,2438.75550217
1636021080000,0.5467,0.5468,0.545,0.5468,18487.61396218
1636021140000,0.5467,0.5468,0.5456,0.5457,6966.19579164
1636021200000,0.5457,0.5468,0.545,0.5468,22285.83909407
1636021260000,0.5466,0.5468,0.5394,0.5394,6980.18881864
1636021320000,0.538,0.538,0.531,0.5354,13696.04478266
1636021380000,0.5351,0.5354,0.5311,0.5351,2455.41745304
1636021440000,0.5344,0.5371,0.5311,0.5355,5497.02472997
1636021500000,0.5328,0.5366,0.5314,0.5362,788.67028553
1636021560000,0.5352,0.5441,0.5272,0.5272,13485.26592379
1636021620000,0.5274,0.545,0.5267,0.5371,20056.75709768
1636021680000,0.5371,0.5499,0.5345,0.54,48704.53092739
1636021740000,0.5401,0.5401,0.5371,0.5383,20197.46064651
1636021800000,0.5394,0.5394,0.5355,0.5367,3481.54026254
1636021860000,0.5375,0.5375,0.5363,0.5375,5811.9515746
1636021920000,0.5375,0.5376,0.5369,0.5375,4999.19579535
1636021980000,0.5394,0.54,0.5379,0.5398,8030.8728
1636022040000,0.54,0.5433,0.5382,0.5382,15613.00318223
1636022100000,0.5397,0.5398,0.5397,0.5398,194.51820385
1636022160000,0.5384,0.5384,0.53,0.53,8386.80391194
1636022220000,0.53,0.53,0.5242,0.5242,14003.14284737
1636022280000,0.5243,0.5499,0.523,0.5499,65127.47569021
1636022340000,0.5472,0.5472,0.5441,0.5441,3595.8709802
1636022400000,0.5448,0.545,0.538,0.538,14467.93005749
1636022460000,0.5409,0.5409,0.53,0.5325,3870.11862002
1636022520000,0.5321,0.537,0.5321,0.537,1840.67490507
1636022580000,0.5369,0.5369,0.5281,0.5282,10055.08703838
1636022640000,0.5281,0.53,0.5281,0.53,8404.5221
1636022700000,0.5303,0.5336,0.5303,0.5336,1867.41182926
1636022760000,0.534,0.5371,0.534,0.5371,678.81088395
1636022820000,0.5371,0.5406,0.5371,0.5379,3998.72508165
1636022880000,0.5378,0.5378,0.5378,0.5378,7769.4863
1636022940000,0.5378,0.541,0.5378,0.541,7280.2686856
1636023000000,0.5403,0.541,0.538,0.538,7260.86985194
1636023060000,0.5381,0.549,0.5381,0.5424,54539.35393204
1636023120000,0.542,0.549,0.54,0.549,10370.63642309
1636023180000,0.549,0.549,0.545,0.5481,10440.68429036
1636023240000,0.5467,0.5486,0.5467,0.5484,354.77715061
1636023300000,0.5469,0.547,0.5454,0.5454,3685.3490952
1636023360000,0.5468,0.5486,0.546,0.5486,5644.20312343
1636023420000,0.547,0.5486,0.5468,0.5485,2997.67477703
1636023480000,0.5485,0.5485,0.5406,0.5407,6876.66304989
1636023540000,0.5436,0.5436,0.5406,0.5406,181.94524753
1636023600000,0.5424,0.5424,0.5406,0.5422,524.3782954
1636023660000,0.544,0.5445,0.5425,0.5442,861.74283101
1636023720000,0.5439,0.5445,0.5439,0.5445,4526.59089247
1636023780000,0.5445,0.545,0.5412,0.5434,14568.29802738
1636023840000,0.5441,0.546,0.543,0.543,2533.71838217
1636023900000,0.5452,0.5452,0.5399,0.54,36874.56543019
1636023960000,0.54,0.5476,0.54,0.5476,6960.62797482
1636024020000,0.5462,0.548,0.5371,0.5476,7475.62747826
1636024080000,0.5472,0.5475,0.531,0.544,19633.963
1636024140000,0.541,0.5446,0.5402,0.5446,2609.6528
1636024200000,0.5446,0.5498,0.5446,0.5498,52596.18334019
1636024260000,0.5477,0.5477,0.5477,0.5477,188.0295
1636024320000,0.5497,0.5498,0.5473,0.5496,899.62305134
1636024380000,0.5496,0.5496,0.5447,0.5472,1434.78277051
1636024440000,0.5474,0.5485,0.5473,0.5473,1730.93642926
1636024500000,0.5488,0.549,0.5458,0.5459,1375.91181049
1636024560000,0.5458,0.5458,0.535,0.544,6614.94317324
1636024620000,0.5441,0.5475,0.5441,0.5475,1201.77256556
1636024680000,0.545,0.545,0.5406,0.5409,3678.9548
1636024740000,0.5409,0.5446,0.5409,0.5418,14764.49855053
1636024800000,0.5423,0.5423,0.5409,0.541,7981.80968354
1636024860000,0.541,0.541,0.541,0.541,643.57656044
1636024920000,0.541,0.541,0.541,0.541,0.0
1636024980000,0.5408,0.5408,0.5406,0.5408,732.12791242
1636025040000,0.5408,0.5408,0.5406,0.5406,188.8655
1636025100000,0.5406,0.5406,0.5387,0.5399,568.53684358
1636025160000,0.5387,0.5387,0.5387,0.5387,484.8686
1636025220000,0.5387,0.5387,0.5385,0.5386,753.12120731
1636025280000,0.5386,0.54,0.5384,0.54,1454.07159899
1636025340000,0.5385,0.5399,0.5385,0.5399,35.7388
1636025400000,0.5389,0.54,0.5383,0.54,139.8888
1636025460000,0.5399,0.54,0.5399,0.54,865.4883739
1636025520000,0.5398,0.54,0.5398,0.54,2077.0937
1636025580000,0.5388,0.5398,0.5378,0.5398,3466.96917538
1636025640000,0.5383,0.5383,0.5383,0.5383,1691.4033
1636025700000,0.5384,0.5398,0.538,0.5382,543.76312845
1636025760000,0.5382,0.5398,0.5337,0.5398,25882.08480171
1636025820000,0.5372,0.5381,0.5337,0.5337,2054.1598
1636025880000,0.5368,0.54,0.5367,0.5399,1924.34617204
1636025940000,0.5399,0.5399,0.5374,0.5374,974.3123
1636026000000,0.5396,0.5397,0.5382,0.5382,1077.73206642
1636026060000,0.5382,0.5397,0.5382,0.5382,187.598
1636026120000,0.5382,0.5387,0.5381,0.5387,9159.93384533
1636026180000,0.5384,0.541,0.5362,0.5379,13351.9489
1636026240000,0.5381,0.5408,0.5372,0.5394,4795.46244152
1636026300000,0.5392,0.5399,0.5377,0.5377,956.13141542
1636026360000,0.5384,0.5399,0.5384,0.5399,1132.1658
1636026420000,0.5399,0.5399,0.5399,0.5399,494.05408408
1636026480000,0.5399,0.5399,0.5399,0.5399,95.36012276
1636026540000,0.5399,0.5399,0.5384,0.5384,602.3986
1636026600000,0.5398,0.5398,0.5386,0.5386,1573.368
1636026660000,0.5397,0.54,0.5316,0.5316,9841.61378251
1636026720000,0.5342,0.5348,0.5342,0.5348,5.8424
1636026780000,0.5317,0.5323,0.5266,0.5266,4737.47651987
1636026840000,0.5281,0.5301,0.5233,0.5288,3430.12182052
1636026900000,0.5288,0.53,0.528,0.528,6922.90358309
1636026960000,0.5295,0.5299,0.5282,0.5282,235.76161265
1636027020000,0.5283,0.5283,0.5282,0.5282,1313.9206
1636027080000,0.5283,0.5299,0.5282,0.5299,584.73795602
1636027140000,0.5289,0.5302,0.5284,0.5302,3665.422
