timestamp,open,high,low,close,volume
1637838000000,0.015,0.64,0.015,0.61,2588045.7101
1637838060000,0.61,0.64,0.455,0.46,2026894.04372058
1637838120000,0.482,0.6217,0.45,0.53,579754.95944872
1637838180000,0.532,0.54,0.4801,0.4802,254921.88963094
1637838240000,0.4927,0.586,0.4802,0.53,300571.82195222
1637838300000,0.5401,0.55,0.529,0.5498,259410.46921265
1637838360000,0.5498,0.57,0.511,0.5168,212021.43721293
1637838420000,0.5168,0.5379,0.4964,0.5201,289918.36610325
1637838480000,0.5219,0.5219,0.4964,0.4969,160829.84920088
1637838540000,0.4964,0.5,0.482,0.4888,140627.82540178
1637838600000,0.484,0.49,0.456,0.4564,214301.23642294
1637838660000,0.4564,0.4601,0.432,0.436,378835.52044309
1637838720000,0.4418,0.525,0.4418,0.4815,437319.51176724
1637838780000,0.4815,0.484,0.45,0.45,188641.59841649
1637838840000,0.4501,0.505,0.444,0.496,331043.03844437
1637838900000,0.4941,0.5,0.4801,0.4964,126403.26141462
1637838960000,0.4964,0.5379,0.4888,0.5379,184091.61377487
1637839020000,0.5379,0.5799,0.5379,0.54,272314.01123459
1637839080000,0.5776,0.5796,0.5085,0.5298,130185.74546412
1637839140000,0.5272,0.5581,0.5,0.5104,159636.28852001
1637839200000,0.5104,0.5499,0.5,0.5379,109467.9391143
1637839260000,0.5379,0.5399,0.5181,0.5376,88556.19253364
1637839320000,0.5376,0.5499,0.5242,0.5499,92027.25257498
1637839380000,0.5499,0.5632,0.54,0.5401,243106.23948869
1637839440000,0.5401,0.5401,0.5284,0.5284,214310.52171976
1637839500000,0.53,0.5306,0.5101,0.5175,115660.34069553
1637839560000,0.5161,0.5304,0.5161,0.527,399218.87697421
1637839620000,0.5249,0.5249,0.48,0.4988,295110.51394842
1637839680000,0.4988,0.503,0.4801,0.489,125250.68591386
1637839740000,0.489,0.5,0.4352,0.459,543114.75160155
1637839800000,0.4553,0.4685,0.45,0.4604,204367.33654015
1637839860000,0.4604,0.463,0.39,0.3989,360607.68808347
1637839920000,0.3949,0.4481,0.385,0.4039,319616.17120013
1637839980000,0.404,0.4344,0.387,0.4147,243572.3279088
1637840040000,0.413,0.413,0.396,0.4021,189869.36250083
1637840100000,0.4016,0.4344,0.3969,0.4258,355739.71987518
1637840160000,0.4258,0.4258,0.38,0.3801,217936.1601681
