timestamp,open,high,low,close,volume
1638180000000,0.01,0.146,0.01,0.0795,11272608.8739
1638180060000,0.0795,0.1,0.0713,0.0815,11471717.99177873
1638180120000,0.0829,0.0831,0.07,0.0726,7154148.55564612
1638180180000,0.0726,0.0726,0.06,0.072,6845497.4380029
1638180240000,0.0723,0.0726,0.0678,0.0716,3148997.33190774
1638180300000,0.0714,0.077,0.071,0.0749,5127151.50430545
1638180360000,0.0741,0.075,0.068,0.0686,4629946.58493195
1638180420000,0.0687,0.0698,0.0621,0.0632,1423304.6560651
1638180480000,0.0632,0.066,0.063,0.0641,2868764.38123724
1638180540000,0.0638,0.0652,0.0636,0.0637,2140276.69127
1638180600000,0.0638,0.0644,0.062,0.063,2208995.71172689
1638180660000,0.063,0.0632,0.0616,0.0617,2187794.05914615
1638180720000,0.0618,0.0618,0.0555,0.0574,4341820.06578066
1638180780000,0.0575,0.0647,0.0561,0.0646,4082957.5422148
1638180840000,0.0646,0.0668,0.0601,0.062,3460027.05257904
1638180900000,0.0619,0.0619,0.0595,0.0612,1414206.16453421
1638180960000,0.0612,0.0616,0.06,0.0601,1045585.31476985
1638181020000,0.0601,0.0608,0.059,0.06,2315582.98434502
1638181080000,0.0601,0.0613,0.06,0.0613,2158707.40257149
1638181140000,0.0615,0.063,0.0614,0.063,3011318.96124976
1638181200000,0.063,0.063,0.0616,0.0618,1160632.43569673
1638181260000,0.0618,0.062,0.06,0.0619,425189.07129426
1638181320000,0.0619,0.062,0.0608,0.0613,995382.92031624
1638181380000,0.0613,0.0624,0.0609,0.0624,764125.63752674
1638181440000,0.0624,0.0624,0.0611,0.0618,405959.86059558
1638181500000,0.0618,0.066,0.0617,0.0655,4745821.28477573
1638181560000,0.0656,0.066,0.0621,0.063,1897081.04796613
1638181620000,0.063,0.0633,0.0627,0.0629,830172.6428784
1638181680000,0.0629,0.0629,0.0622,0.0625,427802.200779
1638181740000,0.0624,0.0656,0.0623,0.0643,755909.92049993
1638181800000,0.0647,0.066,0.0634,0.0653,1107932.20137429
1638181860000,0.0654,0.0659,0.0633,0.0657,1645525.3717342
1638181920000,0.0656,0.0659,0.0639,0.0649,891252.57051611
1638181980000,0.0649,0.0666,0.0645,0.0666,1260534.16897318
1638182040000,0.0666,0.0699,0.0665,0.068,3516853.1714513
1638182100000,0.068,0.072,0.066,0.0712,3464267.3939835
1638182160000,0.0711,0.0719,0.0681,0.071,2098323.0087247
1638182220000,0.071,0.0735,0.0709,0.0734,2059417.80463705
1638182280000,0.0734,0.08,0.0728,0.076,4895880.59025007
1638182340000,0.0753,0.079,0.0749,0.0757,3873412.53749473
1638182400000,0.0757,0.0787,0.072,0.078,4575249.8523644
1638182460000,0.078,0.078,0.0727,0.0747,1938420.95490005
1638182520000,0.0743,0.0775,0.0727,0.0735,1571845.92281545
1638182580000,0.0735,0.0757,0.0708,0.074,1580529.83092722
1638182640000,0.0738,0.0745,0.072,0.073,1136381.4210476
1638182700000,0.073,0.073,0.0702,0.0708,528545.58645138
1638182760000,0.0709,0.0733,0.0704,0.0732,1663381.37431662
1638182820000,0.0733,0.074,0.0726,0.0734,1598651.66104114
1638182880000,0.0734,0.0736,0.0713,0.0713,832626.83053353
1638182940000,0.0713,0.0729,0.0701,0.0711,1037100.64340548
1638183000000,0.0711,0.0715,0.0667,0.0681,1678534.24314437
1638183060000,0.0686,0.0719,0.0683,0.0704,1294874.57397775
1638183120000,0.0706,0.0739,0.0702,0.0736,984964.82746396
1638183180000,0.0735,0.0739,0.0735,0.0738,923865.33533954
1638183240000,0.0738,0.074,0.072,0.0739,440062.77060305
1638183300000,0.0739,0.074,0.073,0.0733,664991.0439361
1638183360000,0.0733,0.0733,0.0715,0.0727,379130.48379062
1638183420000,0.0728,0.0728,0.0705,0.071,570884.15958598
1638183480000,0.071,0.0718,0.0687,0.0688,743060.59775289
1638183540000,0.0687,0.073,0.0687,0.0712,866372.04009514
1638183600000,0.0711,0.0728,0.071,0.0726,288672.34152878
1638183660000,0.0726,0.0731,0.0717,0.0726,350370.78711691
1638183720000,0.0726,0.073,0.0724,0.0726,161754.01366324
1638183780000,0.0726,0.0726,0.0717,0.0718,208423.44143282
1638183840000,0.0718,0.0723,0.0715,0.0719,476504.820771
1638183900000,0.0721,0.0723,0.0719,0.0721,159713.91595529
1638183960000,0.0721,0.0721,0.0715,0.0716,208781.7291153
1638184020000,0.0716,0.0716,0.071,0.0711,379327.183036
1638184080000,0.071,0.0712,0.0696,0.0696,535606.28819717
1638184140000,0.0698,0.0701,0.0681,0.0684,602712.75220638
1638184200000,0.0684,0.07,0.0625,0.0678,2816822.87298152
1638184260000,0.0675,0.068,0.0659,0.066,400817.09082864
1638184320000,0.066,0.0688,0.064,0.0685,1195295.93555519
1638184380000,0.0685,0.0695,0.0675,0.068,711149.11594854
1638184440000,0.068,0.068,0.0655,0.0675,501300.0386768
1638184500000,0.0673,0.0675,0.066,0.0667,441797.55421197
1638184560000,0.0669,0.0671,0.0665,0.067,183353.54425806
1638184620000,0.0669,0.0674,0.0667,0.0673,250726.39124826
1638184680000,0.0673,0.0707,0.0673,0.0692,1311782.10586331
1638184740000,0.0692,0.0707,0.068,0.0692,948924.5434729
1638184800000,0.0692,0.0701,0.0692,0.0698,832162.68008281
1638184860000,0.0698,0.0701,0.0679,0.0689,642979.97785937
1638184920000,0.069,0.0691,0.0667,0.0677,580116.43572439
1638184980000,0.0677,0.069,0.0676,0.069,231316.45148392
1638185040000,0.069,0.0692,0.0685,0.0685,324157.54959654
1638185100000,0.0685,0.0691,0.068,0.0684,191689.31025406
1638185160000,0.0684,0.069,0.068,0.0686,580980.25290968
1638185220000,0.0685,0.07,0.0681,0.0697,1223862.04985871
1638185280000,0.0695,0.0696,0.0682,0.0689,415473.62035266
1638185340000,0.0688,0.0689,0.0653,0.0666,1014518.87011365
1638185400000,0.0668,0.0686,0.0667,0.0679,202173.60886916
1638185460000,0.0678,0.068,0.0675,0.0676,116755.93843252
1638185520000,0.0676,0.0676,0.0665,0.0672,298626.22474312
1638185580000,0.0671,0.0678,0.0662,0.0678,177884.59561294
1638185640000,0.0678,0.0689,0.0678,0.0687,335947.72450356
1638185700000,0.0686,0.0687,0.0653,0.0655,1038179.74710877
1638185760000,0.0654,0.0669,0.065,0.0668,607340.33639465
1638185820000,0.0665,0.0666,0.0648,0.0652,578174.73794238
1638185880000,0.0655,0.0655,0.0631,0.0635,977919.45651719
1638185940000,0.0632,0.0643,0.0621,0.0625,1511731.54977684
1638186000000,0.0625,0.0636,0.0625,0.0632,754805.87308477
1638186060000,0.0631,0.0632,0.061,0.0613,1178356.27111238
1638186120000,0.0614,0.0615,0.059,0.0615,2174016.29252219
1638186180000,0.0614,0.063,0.0603,0.0628,897916.80812528
1638186240000,0.0627,0.0629,0.0615,0.0618,372619.59620998
1638186300000,0.0618,0.062,0.06,0.0605,843053.12774322
1638186360000,0.0604,0.0618,0.0602,0.0608,307266.60251389
1638186420000,0.061,0.0617,0.0607,0.061,289299.64230517
1638186480000,0.061,0.061,0.0594,0.0598,442836.26116276
1638186540000,0.0594,0.06,0.059,0.0596,567569.4197685
1638186600000,0.0596,0.062,0.0596,0.061,648088.05602026
1638186660000,0.061,0.0617,0.061,0.0615,391766.46310762
1638186720000,0.0614,0.0625,0.0613,0.062,400445.89136881
1638186780000,0.0621,0.0625,0.0615,0.0616,342349.86019638
1638186840000,0.0616,0.0616,0.0608,0.0611,181512.61612423
1638186900000,0.0611,0.0612,0.0602,0.0606,185138.95235257
1638186960000,0.0607,0.0617,0.0595,0.0599,1104252.5220492
1638187020000,0.0598,0.0614,0.0596,0.0605,423066.26623563
1638187080000,0.0605,0.0605,0.06,0.0601,251358.99646922
1638187140000,0.0602,0.0615,0.0602,0.0611,401583.80305954
1638187200000,0.0608,0.061,0.06,0.0602,621682.75408469
1638187260000,0.0604,0.0605,0.06,0.0602,153109.714784
1638187320000,0.0602,0.0605,0.0601,0.0602,407469.12266146
1638187380000,0.0601,0.0602,0.0598,0.0598,548584.73674557
1638187440000,0.0598,0.0602,0.0596,0.0596,214418.52597656
1638187500000,0.0597,0.0597,0.0575,0.0575,1386881.47689238
1638187560000,0.0575,0.059,0.057,0.0585,988901.33556701
1638187620000,0.0585,0.0588,0.0573,0.0576,283460.51936186
1638187680000,0.0574,0.0582,0.057,0.0576,601991.16812501
1638187740000,0.0576,0.058,0.057,0.0575,262279.8079466
1638187800000,0.0575,0.061,0.0566,0.061,1035117.61419914
1638187860000,0.0581,0.061,0.0581,0.059,476894.46900172
1638187920000,0.059,0.0592,0.0579,0.058,516200.05108794
1638187980000,0.0581,0.0587,0.0581,0.0587,136548.28234707
1638188040000,0.0587,0.0591,0.0586,0.0591,292266.24597506
1638188100000,0.0591,0.0609,0.0591,0.0608,927578.64049001
1638188160000,0.0607,0.061,0.0604,0.061,790338.06944861
1638188220000,0.0611,0.0611,0.0608,0.061,268668.99071343
1638188280000,0.061,0.0632,0.0609,0.0631,470051.97193661
1638188340000,0.0631,0.0632,0.0613,0.062,586887.32536955
1638188400000,0.0619,0.063,0.0615,0.063,625285.30532881
1638188460000,0.063,0.0635,0.0625,0.0625,906365.13318394
1638188520000,0.0625,0.0633,0.062,0.0631,378583.13855244
1638188580000,0.0633,0.0634,0.0623,0.0626,228967.09737604
1638188640000,0.0624,0.064,0.0613,0.0628,447910.4226275
1638188700000,0.0624,0.0631,0.0624,0.0631,138660.06190892
1638188760000,0.0629,0.0631,0.0615,0.0618,236007.88232326
1638188820000,0.0617,0.0618,0.06,0.0612,410854.27392194
1638188880000,0.0612,0.0615,0.0594,0.0604,334558.55944054
1638188940000,0.0602,0.0611,0.0598,0.0606,317383.40759166
1638189000000,0.0606,0.0615,0.06,0.0604,334141.52940648
1638189060000,0.0604,0.0614,0.0591,0.0599,737659.36356784
1638189120000,0.06,0.062,0.0594,0.062,326894.12176921
1638189180000,0.0619,0.0622,0.0617,0.0618,263320.72381347
1638189240000,0.0619,0.0622,0.0617,0.0617,440276.83274983
1638189300000,0.0617,0.062,0.0615,0.0619,478427.02989226
1638189360000,0.0619,0.062,0.0617,0.062,212598.02597816
1638189420000,0.062,0.062,0.0614,0.0618,282317.96306879
1638189480000,0.0617,0.062,0.0615,0.0619,177195.06912546
1638189540000,0.0619,0.062,0.0616,0.0619,216220.06677254
1638189600000,0.0619,0.062,0.0617,0.062,321995.73128954
1638189660000,0.062,0.062,0.0575,0.0585,1602562.95829638
1638189720000,0.0586,0.061,0.0586,0.0604,280676.04817958
1638189780000,0.0604,0.0615,0.059,0.0595,470715.56223275
1638189840000,0.0597,0.061,0.0596,0.061,249380.020606
1638189900000,0.0609,0.0633,0.0609,0.0629,702692.88339612
1638189960000,0.0628,0.063,0.0619,0.0628,508957.3972606
1638190020000,0.0628,0.0645,0.0628,0.0638,1076915.25978147
1638190080000,0.0638,0.0641,0.0635,0.0636,598588.25377665
1638190140000,0.0636,0.0641,0.0635,0.0641,367198.87671201
1638190200000,0.0641,0.0641,0.0637,0.0639,229826.55862475
1638190260000,0.0639,0.0645,0.0638,0.0645,321937.20761218
1638190320000,0.0645,0.0671,0.064,0.0662,1405441.72772957
1638190380000,0.0662,0.0673,0.0648,0.0651,1082465.60998383
1638190440000,0.0651,0.066,0.0642,0.066,479726.92392106
1638190500000,0.066,0.0669,0.0653,0.0669,455771.61189858
1638190560000,0.0668,0.0668,0.0654,0.0665,246925.12136194
1638190620000,0.0665,0.0679,0.0664,0.0678,560057.04585132
1638190680000,0.0678,0.0695,0.066,0.0692,1729601.98528179
1638190740000,0.0694,0.0699,0.066,0.0667,1680592.52907441
