timestamp,open,high,low,close,volume
1639126800000,0.912,1.34,0.912,1.173,207096.679
1639126860000,1.173,1.39,1.163,1.244,178831.69823534
1639126920000,1.251,1.28,1.15,1.176,89640.15106487
1639126980000,1.176,1.176,1.115,1.133,43907.85327314
1639127040000,1.133,1.139,1.05,1.065,26003.93198092
1639127100000,1.06,1.15,1.041,1.116,72318.69307929
1639127160000,1.116,1.148,1.115,1.129,10915.29112737
1639127220000,1.128,1.128,1.061,1.1,20623.76529979
1639127280000,1.101,1.138,1.091,1.138,16990.97442138
1639127340000,1.132,1.14,1.08,1.1,10643.4410415
1639127400000,1.099,1.14,1.091,1.116,6403.53819338
1639127460000,1.116,1.118,1.081,1.086,6262.83661946
1639127520000,1.089,1.12,1.088,1.104,14340.01743467
1639127580000,1.103,1.106,1.071,1.08,5175.13976449
1639127640000,1.076,1.105,1.07,1.079,4137.4530694
1639127700000,1.079,1.1,1.07,1.086,4512.01540938
1639127760000,1.086,1.088,1.055,1.055,18325.55910907
1639127820000,1.056,1.06,1.01,1.01,27006.70174471
1639127880000,1.012,1.04,1.009,1.037,11495.06014791
1639127940000,1.032,1.036,1.015,1.015,6893.34980511
1639128000000,1.015,1.015,0.973,0.988,10838.99779697
1639128060000,0.989,0.993,0.935,0.96,14520.14762037
1639128120000,0.959,1.136,0.955,1.035,18619.19625859
1639128180000,1.04,1.05,1.002,1.009,9557.83574913
1639128240000,1.008,1.012,1.0,1.0,4545.05614695
1639128300000,0.998,1.011,0.988,1.011,1649.78850543
1639128360000,1.011,1.057,1.011,1.024,9386.2149962
1639128420000,1.024,1.024,0.992,1.01,4003.6499
1639128480000,1.01,1.013,1.004,1.013,1223.92037724
1639128540000,1.013,1.02,1.009,1.01,2116.42481644
1639128600000,1.01,1.01,0.992,1.0,1310.40285008
1639128660000,0.998,1.01,0.982,0.995,1640.25205152
1639128720000,0.992,1.01,0.973,1.0,2705.79676473
1639128780000,1.0,1.0,0.966,0.973,3548.70958721
1639128840000,0.973,1.0,0.967,0.995,3708.76319429
1639128900000,0.991,0.995,0.991,0.995,752.64551355
1639128960000,0.995,0.995,0.983,0.992,781.52024572
1639129020000,0.992,0.995,0.985,0.985,2314.29541546
1639129080000,0.985,0.994,0.98,0.98,5217.21196143
1639129140000,0.98,0.98,0.971,0.973,1780.28822448
1639129200000,0.971,0.978,0.969,0.975,490.74791134
1639129260000,0.975,0.98,0.975,0.976,5911.65976418
1639129320000,0.976,1.01,0.975,1.01,5222.85503999
1639129380000,1.005,1.005,0.98,1.0,1324.3441
1639129440000,1.002,1.102,1.0,1.065,28530.84699777
1639129500000,1.065,1.066,0.98,1.033,12800.51120044
1639129560000,1.033,1.035,1.015,1.015,1854.7963596
1639129620000,1.02,1.026,1.015,1.017,1323.10886343
1639129680000,1.024,1.026,0.995,1.007,5011.91420065
1639129740000,1.008,1.008,0.995,0.995,2240.89604566
1639129800000,1.0,1.004,0.996,0.996,147.23984844
1639129860000,0.996,0.996,0.989,0.992,1311.84008445
1639129920000,0.99,0.99,0.98,0.981,3206.07939752
1639129980000,0.98,0.981,0.976,0.98,3073.51393862
1639130040000,0.976,0.986,0.976,0.98,3201.45100669
1639130100000,0.98,0.98,0.962,0.973,3520.75302724
1639130160000,0.973,0.973,0.962,0.963,1967.68477109
1639130220000,0.963,0.972,0.961,0.963,4803.51875785
1639130280000,0.968,0.97,0.958,0.958,2922.95190366
1639130340000,0.958,0.98,0.95,0.962,10322.37568136
1639130400000,0.962,0.968,0.925,0.967,8148.44563107
1639130460000,0.967,0.967,0.925,0.948,5038.3944421
1639130520000,0.948,0.948,0.935,0.935,1280.90208438
1639130580000,0.937,0.944,0.926,0.937,3758.9803
1639130640000,0.938,0.949,0.937,0.949,4759.20074572
1639130700000,0.949,0.955,0.938,0.948,2082.29871339
1639130760000,0.945,0.952,0.943,0.951,1443.7974
1639130820000,0.952,0.957,0.952,0.957,1428.35200068
1639130880000,0.957,0.967,0.957,0.967,2709.21822634
1639130940000,0.967,1.001,0.967,0.996,5929.019115
1639131000000,1.001,1.009,0.996,1.009,3494.82389312
1639131060000,1.006,1.006,0.982,0.989,5501.24777502
1639131120000,0.988,0.989,0.979,0.98,1101.04270382
1639131180000,0.979,0.98,0.959,0.968,2489.79577465
1639131240000,0.968,0.968,0.948,0.951,2323.61708391
1639131300000,0.948,0.952,0.94,0.952,2276.93103926
1639131360000,0.952,0.964,0.944,0.953,1944.43829464
1639131420000,0.956,0.963,0.953,0.959,1077.18139781
1639131480000,0.959,0.968,0.952,0.961,1707.33256538
1639131540000,0.962,0.964,0.95,0.955,2684.91412582
1639131600000,0.955,0.987,0.955,0.974,3245.29825208
1639131660000,0.979,0.979,0.967,0.967,1343.6039
1639131720000,0.969,0.969,0.96,0.967,1061.30350682
1639131780000,0.967,0.967,0.952,0.952,1297.572794
1639131840000,0.959,1.06,0.959,0.999,15927.49044421
1639131900000,1.004,1.09,1.004,1.046,13348.69339076
1639131960000,1.046,1.048,0.937,1.0,10480.91330697
1639132020000,1.0,1.001,0.99,0.996,1490.1548
1639132080000,0.996,0.996,0.982,0.982,2041.25369919
1639132140000,0.982,0.982,0.978,0.978,693.79434081
1639132200000,0.979,0.996,0.979,0.996,1547.30161049
1639132260000,0.996,1.0,0.95,0.977,5862.1368487
1639132320000,0.972,0.993,0.963,0.976,6366.05332949
1639132380000,0.977,0.98,0.965,0.974,710.63616363
1639132440000,0.974,0.976,0.966,0.97,580.46925488
1639132500000,0.97,0.974,0.97,0.97,198.19828254
1639132560000,0.974,0.979,0.97,0.979,604.69543104
1639132620000,0.979,0.98,0.977,0.98,772.00179292
1639132680000,0.98,0.98,0.971,0.971,420.88347142
1639132740000,0.976,0.98,0.972,0.972,883.90896387
1639132800000,0.979,0.981,0.972,0.981,557.9631397
1639132860000,0.981,0.983,0.981,0.983,579.2982603
1639132920000,0.981,0.984,0.955,0.964,3922.35714802
1639132980000,0.963,0.974,0.963,0.968,539.8775
1639133040000,0.974,0.982,0.972,0.975,758.19859858
1639133100000,0.975,0.982,0.974,0.979,281.9822
