timestamp,open,high,low,close,volume
1616493600000,1.113,1.77,1.0,1.45,910.19676891
1616493660000,1.73,1.73,1.3,1.65,15716.07709045
1616493720000,1.6499,1.6499,1.6,1.639,10311.36129118
1616493780000,1.6385,1.6396,1.54,1.5899,9453.18856423
1616493840000,1.5899,1.5899,1.56,1.57,6502.09708645
1616493900000,1.5701,1.6199,1.57,1.6,4772.50574414
1616493960000,1.6,1.615,1.6,1.615,7154.54188824
1616494020000,1.615,1.66,1.6141,1.6599,3060.19395556
1616494080000,1.6598,1.6598,1.64,1.64,853.00139214
1616494140000,1.64,1.64,1.6193,1.6193,187.53465961
1616494200000,1.6193,1.6512,1.6141,1.65,5320.37575033
1616494260000,1.6499,1.65,1.616,1.6498,422.54083659
1616494320000,1.6498,1.6498,1.6214,1.6498,436.84825689
1616494380000,1.6497,1.6789,1.6203,1.6789,2206.9257662
1616494440000,1.6789,1.8,1.6789,1.7499,4600.17862046
1616494500000,1.7499,1.8,1.71,1.7993,4429.82927037
1616494560000,1.799,1.999,1.7745,1.9987,12400.45618708
1616494620000,1.9987,1.999,1.7824,1.82,3013.99971152
1616494680000,1.9,1.9983,1.843,1.9796,2869.92946876
1616494740000,1.9792,1.9796,1.9001,1.9776,2341.6337686
1616494800000,1.9776,1.9776,1.8798,1.9473,8480.62073895
1616494860000,1.9398,1.9398,1.8432,1.8432,1021.77707395
1616494920000,1.883,1.89,1.49,1.49,7831.38110507
1616494980000,1.49,1.75,1.49,1.7297,3651.62877448
1616495040000,1.729,1.729,1.5506,1.65,6140.1086139
1616495100000,1.5705,1.6905,1.57,1.69,6386.8098
1616495160000,1.6995,1.7199,1.6667,1.6681,4238.84878905
1616495220000,1.6687,1.6999,1.5801,1.67,8345.10995335
1616495280000,1.67,1.67,1.6395,1.647,705.9987
1616495340000,1.6143,1.647,1.58,1.64,1892.70681809
1616495400000,1.6395,1.6395,1.585,1.62,819.9955
1616495460000,1.6195,1.6195,1.55,1.5505,5519.7426074
1616495520000,1.5994,1.5994,1.55,1.55,5697.3647
1616495580000,1.5495,1.587,1.5406,1.58,746.43535981
1616495640000,1.58,1.6,1.58,1.6,592.11170886
1616495700000,1.5875,1.625,1.587,1.625,1730.06598552
1616495760000,1.6245,1.63,1.6245,1.6293,4420.07650639
1616495820000,1.6287,1.6288,1.6287,1.6287,71.7042
1616495880000,1.6281,1.63,1.6014,1.63,671.32804902
1616495940000,1.6255,1.6295,1.6255,1.6294,551.3558
1616496000000,1.6287,1.6294,1.6011,1.6022,778.7907
1616496060000,1.6288,1.6288,1.6031,1.6031,10.4
1616496120000,1.6037,1.63,1.6037,1.6056,321.6823
1616496180000,1.6295,1.6295,1.6289,1.6289,31.5213
1616496240000,1.6284,1.6284,1.6006,1.6277,735.8266
1616496300000,1.6276,1.6276,1.6264,1.6264,65.1223
1616496360000,1.6264,1.6264,1.6245,1.6245,6.94854894
1616496420000,1.6239,1.6295,1.6227,1.6295,722.51306804
1616496480000,1.629,1.63,1.6007,1.63,635.43304361
1616496540000,1.6018,1.6293,1.6007,1.6293,288.3536
1616496600000,1.6293,1.6293,1.6293,1.6293,0.0
1616496660000,1.6013,1.625,1.6013,1.6106,9.6
1616496720000,1.6112,1.6495,1.6112,1.6495,714.70552597
1616496780000,1.6298,1.6796,1.6298,1.6796,305.85887403
1616496840000,1.68,1.699,1.6795,1.6988,1932.2875644
1616496900000,1.6985,1.6985,1.6506,1.6518,106.75605853
1616496960000,1.6982,1.6982,1.6512,1.6818,274.0365
1616497020000,1.6813,1.699,1.6527,1.6818,578.84143986
1616497080000,1.699,1.699,1.6608,1.6608,483.01554873
1616497140000,1.6608,1.698,1.6518,1.6782,687.7134
1616497200000,1.6744,1.8,1.65,1.68,10749.36576415
1616497260000,1.7992,1.7992,1.7488,1.7488,224.1881
1616497320000,1.7399,1.8477,1.674,1.8477,2896.81874393
1616497380000,1.7006,1.7994,1.654,1.72,5645.84184807
1616497440000,1.7194,1.7794,1.65,1.7095,9393.6413156
1616497500000,1.7393,1.7393,1.6989,1.6995,1.70065336
1616497560000,1.6994,1.6994,1.651,1.651,972.11610171
1616497620000,1.6895,1.6895,1.65,1.684,419.4068
1616497680000,1.684,1.684,1.6505,1.6505,179.99296014
1616497740000,1.6506,1.72,1.6506,1.72,891.7177
1616497800000,1.6506,1.7,1.6505,1.7,1366.30396574
1616497860000,1.6606,1.6989,1.6605,1.6988,227.30443051
1616497920000,1.6606,1.8,1.6606,1.6988,7326.29505219
1616497980000,1.6669,1.7998,1.6606,1.7494,3241.86431502
1616498040000,1.7489,1.7489,1.6615,1.7395,516.2869
1616498100000,1.7395,1.74,1.6613,1.6706,1597.00240528
1616498160000,1.6706,1.7495,1.6706,1.74,2333.27956946
1616498220000,1.74,1.795,1.74,1.795,285.89982526
1616498280000,1.7505,1.8,1.7505,1.7518,3094.43092928
1616498340000,1.7556,1.7993,1.7556,1.79,686.24802624
1616498400000,1.79,1.7992,1.78,1.7987,1206.76324434
1616498460000,1.7981,1.7987,1.78,1.7981,1633.49769382
1616498520000,1.798,1.798,1.75,1.78,1554.7178
1616498580000,1.7794,1.8,1.75,1.78,3637.20479622
1616498640000,1.7906,1.83,1.7906,1.83,1181.66452086
1616498700000,1.8006,1.8477,1.8006,1.8017,575.08059497
1616498760000,1.8023,1.8477,1.8,1.845,677.22933426
1616498820000,1.845,1.8899,1.8001,1.8056,5046.15440011
1616498880000,1.8062,1.8899,1.8062,1.8186,1172.32156202
1616498940000,1.8192,1.8893,1.8192,1.8406,270.77430039
1616499000000,1.8412,1.8605,1.8308,1.8605,1531.3215
1616499060000,1.8605,1.885,1.82,1.885,768.1771
1616499120000,1.8893,1.9,1.88,1.9,1988.51896223
1616499180000,1.8806,1.9,1.8806,1.9,1063.95403738
1616499240000,1.9005,1.9697,1.9005,1.9697,485.3893
1616499300000,1.9698,1.98,1.9695,1.9795,3494.09880301
1616499360000,1.9795,1.98,1.8101,1.9006,4804.43944466
1616499420000,1.9006,1.9006,1.8,1.9006,2229.52592812
1616499480000,1.9006,1.9006,1.8131,1.8132,1530.8297
1616499540000,1.8788,1.8788,1.8135,1.8659,1353.13724239
1616499600000,1.8141,1.9497,1.8141,1.8666,787.98031644
1616499660000,1.8668,1.95,1.7606,1.8,6613.94441758
1616499720000,1.7606,1.92,1.7606,1.7999,1294.88751663
1616499780000,1.7994,1.879,1.7607,1.7706,1037.49467028
1616499840000,1.7712,1.82,1.71,1.76,1003.1065923
1616499900000,1.7595,1.7597,1.7005,1.7006,288.4034
1616499960000,1.7579,1.759,1.7013,1.7579,1299.50276507
1616500020000,1.7105,1.757,1.7006,1.7494,2914.84567992
1616500080000,1.7394,1.7395,1.67,1.7194,1332.31149586
1616500140000,1.7188,1.7188,1.6701,1.7083,176.5186
1616500200000,1.7082,1.7194,1.6803,1.7194,1038.4767
1616500260000,1.6995,1.7005,1.6983,1.7005,98.7042
1616500320000,1.7011,1.73,1.7011,1.73,117.19282612
1616500380000,1.7013,1.79,1.7013,1.79,597.34197388
1616500440000,1.79,1.8196,1.7574,1.8196,809.84720446
1616500500000,1.82,1.85,1.7605,1.7605,740.8109
1616500560000,1.7987,1.7988,1.725,1.7976,501.3052
1616500620000,1.8196,1.83,1.79,1.83,1196.84977639
1616500680000,1.7308,1.8398,1.7308,1.83,2945.5257774
1616500740000,1.8393,1.8393,1.83,1.8393,111.9318
1616500800000,1.8394,1.85,1.8394,1.85,1563.7392
1616500860000,1.846,1.85,1.846,1.8466,319.83757837
1616500920000,1.8495,1.85,1.83,1.83,1964.9764226
1616500980000,1.8294,1.8494,1.8,1.8493,327.113
1616501040000,1.8483,1.8483,1.829,1.829,1.4
1616501100000,1.8295,1.8299,1.829,1.8299,574.899
1616501160000,1.8007,1.8299,1.8006,1.8006,977.9296
1616501220000,1.8293,1.8293,1.7577,1.7577,53.6117
1616501280000,1.8259,1.8259,1.7589,1.8199,993.08336113
1616501340000,1.8204,1.8275,1.7584,1.7584,1585.8453
1616501400000,1.7584,1.8194,1.7584,1.8095,1118.27103812
1616501460000,1.8094,1.8094,1.7995,1.7995,174.4770992
1616501520000,1.7995,1.8089,1.7592,1.8089,463.39822967
1616501580000,1.7592,1.8089,1.7592,1.7606,197.13677313
1616501640000,1.7609,1.8089,1.7601,1.8084,1835.07684194
1616501700000,1.8084,1.8084,1.7607,1.7613,84.21670862
1616501760000,1.7614,1.77,1.7614,1.77,1.6
1616501820000,1.77,1.8083,1.7636,1.8083,313.64902638
1616501880000,1.7806,1.8005,1.7806,1.8,260.65169848
1616501940000,1.8,1.8,1.7805,1.7805,400.84330667
1616502000000,1.7805,1.798,1.7805,1.7805,395.00363723
1616502060000,1.7979,1.7979,1.7629,1.7629,341.65295686
1616502120000,1.763,1.7949,1.7629,1.763,187.2309
1616502180000,1.764,1.795,1.764,1.795,274.09968884
1616502240000,1.7712,1.795,1.7711,1.7711,58.21797214
1616502300000,1.7716,1.794,1.7711,1.794,648.61855674
1616502360000,1.7723,1.797,1.7723,1.797,606.25027621
1616502420000,1.7749,1.82,1.7749,1.82,827.49088465
1616502480000,1.82,1.8299,1.78,1.8205,1362.4086
1616502540000,1.8294,1.8299,1.8205,1.8255,132.3497
1616502600000,1.8299,1.8481,1.8299,1.848,485.79508966
1616502660000,1.8315,1.8489,1.8315,1.8489,2210.6058654
1616502720000,1.8321,1.8489,1.8315,1.8444,658.047
1616502780000,1.8395,1.8395,1.8383,1.8383,485.18554001
1616502840000,1.8376,1.8376,1.7727,1.8194,700.8
1616502900000,1.8188,1.8188,1.7706,1.8188,19.0218
1616502960000,1.7994,1.8005,1.7706,1.8,955.10488925
1616503020000,1.8,1.8,1.8,1.8,0.0
1616503080000,1.7994,1.7995,1.7994,1.7995,11.6633
1616503140000,1.7995,1.8,1.799,1.799,259.24703864
1616503200000,1.799,1.799,1.7984,1.7984,182.48014804
1616503260000,1.7984,1.7984,1.7984,1.7984,0.0
1616503320000,1.7984,1.7984,1.7984,1.7984,0.0
1616503380000,1.7979,1.7984,1.7979,1.7984,108.1414
1616503440000,1.8,1.8382,1.8,1.8382,2074.72346062
1616503500000,1.8105,1.8376,1.8,1.8,333.4431
1616503560000,1.8377,1.8377,1.6503,1.8375,5686.24167045
1616503620000,1.8369,1.8369,1.7994,1.7994,1541.42571919
1616503680000,1.7988,1.7988,1.797,1.797,0.8
1616503740000,1.7893,1.7893,1.7097,1.7097,40.744
1616503800000,1.7893,1.7893,1.601,1.601,3883.79079758
1616503860000,1.6503,1.7893,1.601,1.6023,379.01933034
1616503920000,1.6029,1.6053,1.6029,1.6053,1.2
1616503980000,1.6203,1.7794,1.6203,1.7589,247.18817861
1616504040000,1.6256,1.75,1.6256,1.75,365.23257018
1616504100000,1.7093,1.75,1.6308,1.75,553.2068
1616504160000,1.6312,1.75,1.6312,1.7398,119.7334
1616504220000,1.7397,1.7397,1.6759,1.6759,46.7303
1616504280000,1.6759,1.6999,1.6759,1.6759,173.8447
1616504340000,1.6885,1.72,1.6507,1.7098,778.85334314
