timestamp,open,high,low,close,volume
1630490400000,0.1,0.1966,0.1,0.1599,1067383.1386
1630490460000,0.1599,0.1699,0.1402,0.1604,559195.05658917
1630490520000,0.1681,0.1699,0.1604,0.1684,356578.97990232
1630490580000,0.1655,0.1683,0.155,0.155,160824.90274161
1630490640000,0.1553,0.156,0.1456,0.1494,143860.33586179
1630490700000,0.1495,0.155,0.1494,0.1539,123170.45995498
1630490760000,0.1528,0.1641,0.1528,0.163,127737.44295012
1630490820000,0.163,0.1635,0.1601,0.1635,116388.84704159
1630490880000,0.1633,0.1798,0.151,0.1677,375085.75722079
1630490940000,0.1677,0.175,0.1656,0.1734,120998.13314803
1630491000000,0.1704,0.1758,0.17,0.1749,72589.91045661
1630491060000,0.175,0.1789,0.175,0.1766,116072.71394396
1630491120000,0.176,0.179,0.175,0.1768,99150.33775544
1630491180000,0.1767,0.1769,0.175,0.175,57137.51923461
1630491240000,0.1749,0.1749,0.16,0.1698,99015.00268398
1630491300000,0.1618,0.17,0.1618,0.1663,57549.78997141
1630491360000,0.1665,0.17,0.1665,0.17,45966.13846716
1630491420000,0.1699,0.1699,0.163,0.1676,38441.88378092
1630491480000,0.1633,0.1673,0.1633,0.1668,34421.74226743
1630491540000,0.1667,0.1668,0.1644,0.1646,22726.74545467
1630491600000,0.1666,0.167,0.1644,0.1664,44147.60288422
1630491660000,0.165,0.165,0.1568,0.1575,56822.39474944
1630491720000,0.158,0.1631,0.1575,0.163,37566.24999561
1630491780000,0.1625,0.163,0.1601,0.1613,9897.45705354
1630491840000,0.1624,0.1624,0.1585,0.1585,34143.63160359
1630491900000,0.1585,0.163,0.1561,0.163,39131.230265
1630491960000,0.16,0.16,0.1577,0.16,6610.2369
1630492020000,0.1604,0.163,0.1581,0.163,33004.34435089
1630492080000,0.1631,0.1631,0.1625,0.163,13780.23401231
1630492140000,0.163,0.163,0.1625,0.163,18139.53874661
1630492200000,0.163,0.1645,0.1626,0.1645,25707.3366214
1630492260000,0.1645,0.1695,0.1645,0.1694,16110.17715213
1630492320000,0.1652,0.1692,0.1652,0.1688,15948.87721165
1630492380000,0.1661,0.1687,0.1661,0.1684,6760.96779022
1630492440000,0.1682,0.1687,0.1664,0.1671,29909.70246913
1630492500000,0.1671,0.17,0.167,0.1671,50485.74997352
1630492560000,0.1673,0.1699,0.167,0.1699,13260.96738791
1630492620000,0.1698,0.174,0.1698,0.174,111965.34603065
1630492680000,0.174,0.174,0.1652,0.1713,35362.76885
1630492740000,0.1704,0.1737,0.1701,0.1724,37958.27660155
1630492800000,0.173,0.173,0.1724,0.1724,8344.52772981
1630492860000,0.1725,0.1725,0.169,0.169,6961.0876
1630492920000,0.1717,0.1717,0.1652,0.1699,21146.41739471
1630492980000,0.166,0.168,0.1656,0.168,2928.71776433
