timestamp,open,high,low,close,volume
1632823200000,0.6,1.399,0.1,1.1991,55253.6299
1632823260000,1.1991,1.3896,1.1602,1.2696,46892.12362304
1632823320000,1.1605,1.1999,1.1101,1.1107,10784.602155
1632823380000,1.1107,1.12,1.05,1.05,14316.69069892
1632823440000,1.0292,1.0701,1.0273,1.0693,7822.60048672
1632823500000,1.0693,1.1483,1.0693,1.0895,29586.41506264
1632823560000,1.0908,1.1,1.0877,1.0895,7577.15604225
1632823620000,1.0895,1.13,1.08,1.13,13427.49141093
1632823680000,1.13,1.13,1.0731,1.0731,8975.12803811
1632823740000,1.099,1.0997,1.0732,1.0946,1059.37098691
1632823800000,1.0945,1.095,1.0732,1.0937,3541.40942493
1632823860000,1.0937,1.095,1.0731,1.0949,2255.62171678
1632823920000,1.0947,1.0948,1.0597,1.0597,3820.06524504
1632823980000,1.0485,1.09,1.0318,1.09,5501.11103347
1632824040000,1.061,1.09,1.0528,1.079,2539.47654814
1632824100000,1.0783,1.0783,1.0767,1.0767,1824.15167002
1632824160000,1.0766,1.0767,1.06,1.072,2446.73211577
1632824220000,1.0716,1.075,1.04,1.068,3288.07007194
1632824280000,1.068,1.0692,1.0628,1.0628,400.08538412
1632824340000,1.0582,1.09,1.04,1.0581,10410.20058041
1632824400000,1.0581,1.0948,1.0519,1.0948,4979.33271699
1632824460000,1.0915,1.0995,1.0896,1.09,3133.10007103
1632824520000,1.09,1.0965,1.0861,1.0965,4659.82522591
1632824580000,1.0961,1.098,1.0951,1.098,474.05358961
1632824640000,1.0973,1.0997,1.095,1.095,2465.22470065
1632824700000,1.0952,1.0997,1.0952,1.0995,1260.51606538
1632824760000,1.0995,1.1001,1.0953,1.1001,5760.80380304
1632824820000,1.1006,1.1076,1.1006,1.1076,5664.06347946
1632824880000,1.1076,1.1354,1.1076,1.1354,21291.84619013
1632824940000,1.1354,1.1393,1.1354,1.138,9772.54220935
1632825000000,1.139,1.1436,1.135,1.135,14709.31850807
1632825060000,1.135,1.1407,1.135,1.135,8807.55808668
1632825120000,1.135,1.1436,1.135,1.14,4861.29229585
1632825180000,1.14,1.1414,1.135,1.14,21927.28631649
1632825240000,1.1399,1.1399,1.0266,1.0892,20476.89835427
1632825300000,1.0926,1.1129,1.0919,1.0984,8169.31392614
1632825360000,1.0984,1.146,1.0984,1.1294,15758.73302095
1632825420000,1.127,1.139,1.1011,1.1124,3465.99988054
1632825480000,1.1202,1.139,1.1125,1.1248,2542.02861995
1632825540000,1.1248,1.1248,1.0967,1.112,5020.22338032
1632825600000,1.1123,1.12,1.0967,1.1077,5055.7091
1632825660000,1.1072,1.1268,1.0855,1.1214,5188.99452711
1632825720000,1.12,1.1267,1.115,1.115,983.41594519
1632825780000,1.115,1.115,1.0832,1.112,1421.50373609
1632825840000,1.112,1.1268,1.1115,1.1115,621.32953372
1632825900000,1.1168,1.124,1.0996,1.0996,909.78399758
1632825960000,1.105,1.1239,1.105,1.1156,255.13189441
1632826020000,1.1198,1.1239,1.1067,1.1067,2256.46771121
1632826080000,1.1108,1.117,1.098,1.117,3054.48315527
1632826140000,1.1169,1.1169,1.103,1.103,80.2151
1632826200000,1.1023,1.123,1.1023,1.1168,750.49585087
1632826260000,1.1164,1.12,1.11,1.12,5725.23590274
1632826320000,1.1195,1.12,1.1102,1.12,3891.13484717
1632826380000,1.12,1.13,1.12,1.13,1034.23407731
1632826440000,1.1294,1.136,1.1294,1.136,3947.99316595
1632826500000,1.1356,1.136,1.1,1.118,1471.60717369
1632826560000,1.118,1.1197,1.118,1.1197,1095.3732
1632826620000,1.1181,1.1268,1.118,1.1268,3503.5340332
1632826680000,1.1255,1.1361,1.118,1.136,1712.4205391
1632826740000,1.1306,1.1361,1.1306,1.136,806.31257093
1632826800000,1.135,1.136,1.135,1.136,688.68147522
1632826860000,1.136,1.14,1.135,1.135,8689.60640655
1632826920000,1.135,1.135,1.1255,1.1255,1276.02183436
1632826980000,1.126,1.13,1.118,1.1181,1534.9260369
1632827040000,1.1199,1.1301,1.1106,1.1295,2308.42032653
1632827100000,1.1214,1.1295,1.1115,1.1124,1023.01096137
1632827160000,1.1195,1.1359,1.104,1.1208,2062.324762
1632827220000,1.1203,1.1359,1.1124,1.1302,1874.8899234
1632827280000,1.1358,1.136,1.1229,1.136,1626.83968237
1632827340000,1.136,1.136,1.1124,1.1124,2726.21540129
1632827400000,1.1124,1.1199,1.1,1.104,4501.04560275
1632827460000,1.104,1.1054,1.045,1.0836,12273.5027785
1632827520000,1.09,1.1021,1.0899,1.0899,2785.657
1632827580000,1.0899,1.09,1.0877,1.09,4610.2424
1632827640000,1.09,1.0989,1.09,1.0944,1513.7467
1632827700000,1.1019,1.1022,1.05,1.0785,4313.2866705
1632827760000,1.0797,1.098,1.0797,1.098,652.19958192
1632827820000,1.0937,1.0979,1.0937,1.0974,300.9885
1632827880000,1.0973,1.1054,1.0911,1.105,874.67141309
1632827940000,1.1051,1.1054,1.1051,1.1053,950.93454458
1632828000000,1.105,1.1123,1.0899,1.1123,2468.72590799
