timestamp,open,high,low,close,volume
1623767400000,0.48,444.0,0.48,2.5001,75941.90659829
1623767460000,2.5001,2.9998,2.2101,2.7004,31629.92461966
1623767520000,2.7004,2.7006,2.25,2.3,28754.50882556
1623767580000,2.2998,2.3,2.22,2.2601,38349.47479389
1623767640000,2.2601,2.2601,2.0,2.0001,12902.24398265
1623767700000,2.0001,2.0002,1.6126,1.6174,25605.37984859
1623767760000,1.6127,1.76,1.61,1.7419,93584.86820042
1623767820000,1.7419,1.77,1.6801,1.6826,38265.83747417
1623767880000,1.6889,1.7468,1.6889,1.7435,19811.58887215
1623767940000,1.7446,1.7509,1.7333,1.7509,8949.90361127
1623768000000,1.7484,1.77,1.7441,1.7633,20014.48138563
1623768060000,1.7679,1.8333,1.7678,1.82,61951.22923515
1623768120000,1.8122,1.8333,1.71,1.7226,63351.39385563
1623768180000,1.7253,1.8,1.725,1.765,16461.59723153
1623768240000,1.7679,1.7871,1.7679,1.7779,8932.078202
1623768300000,1.7777,1.8229,1.7729,1.8229,24099.947504
1623768360000,1.8229,1.8589,1.82,1.85,13256.15617125
1623768420000,1.8417,1.98,1.84,1.97,63265.9698358
1623768480000,1.9506,1.9699,1.72,1.8003,36493.89050465
1623768540000,1.8003,1.88,1.8001,1.88,4924.60849962
1623768600000,1.8799,1.899,1.8203,1.8319,6830.05095109
1623768660000,1.8596,1.86,1.753,1.7701,11646.85717382
1623768720000,1.8149,1.8194,1.7705,1.8,1801.76378617
1623768780000,1.8076,1.8396,1.7804,1.8396,7649.68369234
1623768840000,1.8396,1.8684,1.8106,1.8318,4542.9244743
1623768900000,1.8364,1.8457,1.8295,1.8419,3390.60317631
1623768960000,1.8419,1.8423,1.838,1.8382,1515.2221467
1623769020000,1.8382,1.842,1.8211,1.84,3709.85309075
1623769080000,1.8359,1.8419,1.78,1.8177,6796.76708713
1623769140000,1.8176,1.8176,1.7927,1.8084,4351.45239046
1623769200000,1.8086,1.8162,1.8085,1.8162,1098.91149672
1623769260000,1.8117,1.825,1.8101,1.8168,832.6242285
1623769320000,1.8249,1.8703,1.8119,1.8703,9048.80584371
1623769380000,1.8759,1.9,1.8401,1.8999,11832.88244369
1623769440000,1.8998,1.9,1.84,1.8462,9844.60091071
1623769500000,1.8409,1.8648,1.817,1.8329,6738.39151933
1623769560000,1.837,1.86,1.8237,1.843,3855.69647448
