timestamp,open,high,low,close,volume
1638525600000,6.06,11.8,6.06,10.601,25188.2037
1638525660000,10.6,10.6,9.7,9.85,9922.1941
1638525720000,9.849,9.85,9.604,9.7,4205.3855
1638525780000,9.699,9.85,9.699,9.849,1988.1033
1638525840000,9.849,10.163,9.823,10.163,3877.7804
1638525900000,10.005,11.21,9.95,11.21,20413.61785185
1638525960000,11.21,11.21,10.21,10.79,5949.87391257
1638526020000,10.79,11.1,10.3,11.1,4063.80825882
1638526080000,11.02,11.21,10.3,10.9,4590.08993529
1638526140000,10.898,10.898,10.49,10.851,569.13416841
1638526200000,10.85,10.9,10.22,10.767,2285.8853809
1638526260000,10.767,10.89,10.76,10.82,1097.87833696
1638526320000,10.82,10.82,10.2,10.304,3462.39100587
1638526380000,10.372,10.65,10.001,10.199,5278.54197203
1638526440000,10.2,10.28,10.11,10.11,460.22317081
1638526500000,10.11,10.17,10.0,10.0,2623.28237643
1638526560000,10.04,10.059,9.52,9.554,21120.93467491
1638526620000,9.555,9.849,9.5,9.5,3199.80492824
1638526680000,9.5,9.701,9.45,9.65,615.17741928
1638526740000,9.651,10.39,9.65,9.888,2894.87920896
1638526800000,9.854,9.9,9.7,9.8,571.93902811
1638526860000,9.888,9.999,9.888,9.899,1641.53531029
1638526920000,9.898,9.899,9.75,9.75,396.98206269
1638526980000,9.8,9.899,9.76,9.801,276.285496
1638527040000,9.888,9.899,9.77,9.897,464.28595972
1638527100000,9.897,9.897,9.7,9.8,1186.06800788
1638527160000,9.84,9.89,9.751,9.8,319.58290645
1638527220000,9.829,9.85,9.753,9.85,149.39482625
1638527280000,9.805,9.805,9.7,9.7,640.86486339
1638527340000,9.701,9.724,9.7,9.7,507.38105421
1638527400000,9.7,9.7,9.6,9.63,495.48237993
1638527460000,9.63,9.7,9.602,9.696,187.23687289
1638527520000,9.696,9.8,9.6,9.8,4437.97233528
1638527580000,9.8,9.8,9.604,9.74,117.90528264
1638527640000,9.65,9.739,9.605,9.738,45.11689329
1638527700000,9.707,9.707,9.62,9.623,137.01178826
1638527760000,9.675,9.8,9.675,9.799,1583.40276774
1638527820000,9.799,9.799,9.7,9.7,290.8642148
1638527880000,9.742,9.8,9.704,9.704,262.09014575
1638527940000,9.704,9.8,9.703,9.706,150.15393809
1638528000000,9.71,9.799,9.71,9.799,33.19369891
1638528060000,9.799,9.8,9.78,9.8,168.77662544
1638528120000,9.78,9.8,9.78,9.8,456.73737608
1638528180000,9.789,9.8,9.78,9.78,992.97814984
1638528240000,9.8,9.8,9.7,9.7,692.63160954
1638528300000,9.78,9.799,9.742,9.798,92.16904433
1638528360000,9.789,9.8,9.75,9.8,395.91301401
1638528420000,9.8,9.8,9.75,9.794,318.20163264
1638528480000,9.757,9.799,9.75,9.75,66.60958677
1638528540000,9.755,9.791,9.75,9.751,198.17106085
1638528600000,9.789,9.8,9.789,9.8,250.04297715
1638528660000,9.751,9.798,9.7,9.701,157.05916274
1638528720000,9.7,9.799,9.7,9.799,480.30512494
1638528780000,9.798,9.799,9.785,9.786,11.8824
1638528840000,9.742,9.799,9.742,9.742,107.43441046
