timestamp,open,high,low,close,volume
1638885600000,0.13,0.945,0.13,0.78,1631654.2082
1638885660000,0.78,0.8393,0.7499,0.751,991795.69740551
1638885720000,0.752,0.7695,0.7499,0.7632,349930.01026184
1638885780000,0.7667,0.769,0.7499,0.7499,262124.58887317
1638885840000,0.7499,0.7513,0.6401,0.6471,851254.01792837
1638885900000,0.6471,0.7595,0.6081,0.7501,838469.18011921
1638885960000,0.7586,0.78,0.74,0.74,277981.0243466
1638886020000,0.74,0.75,0.74,0.75,221332.04445489
1638886080000,0.7443,0.7491,0.74,0.74,194902.78769395
1638886140000,0.7402,0.82,0.74,0.8105,171832.17896742
1638886200000,0.8199,0.84,0.752,0.7653,171809.36513532
1638886260000,0.7785,0.8006,0.766,0.766,71222.89993101
1638886320000,0.7677,0.77,0.75,0.7599,137286.39942003
1638886380000,0.7599,0.78,0.7501,0.752,92966.62636453
1638886440000,0.752,0.79,0.75,0.7814,143362.04454237
1638886500000,0.7815,0.789,0.77,0.7779,76348.36945416
1638886560000,0.7769,0.7798,0.74,0.7487,268688.39484526
1638886620000,0.7487,0.75,0.74,0.7429,215767.19719534
1638886680000,0.7429,0.7603,0.74,0.752,73841.95369214
1638886740000,0.7543,0.755,0.743,0.7453,38533.28163944
1638886800000,0.7453,0.77,0.7433,0.759,136273.68845144
1638886860000,0.7592,0.7694,0.749,0.749,102239.28361453
1638886920000,0.749,0.759,0.748,0.753,44754.55053141
1638886980000,0.7581,0.7582,0.75,0.7503,27018.58983812
1638887040000,0.7504,0.753,0.744,0.744,31152.63979332
1638887100000,0.7449,0.747,0.741,0.7447,22249.25173265
1638887160000,0.7442,0.7448,0.7401,0.7401,36369.08255301
1638887220000,0.7402,0.741,0.715,0.7243,404557.82938721
1638887280000,0.7252,0.74,0.7101,0.717,236251.45267091
1638887340000,0.717,0.727,0.712,0.7255,41287.73115935
1638887400000,0.7256,0.7258,0.7177,0.7215,52821.62139341
1638887460000,0.7215,0.74,0.7215,0.737,71039.01586618
1638887520000,0.7368,0.738,0.724,0.7297,22401.00963089
1638887580000,0.7297,0.7399,0.725,0.737,27772.98288055
1638887640000,0.737,0.738,0.721,0.7263,37148.39547376
1638887700000,0.7263,0.728,0.718,0.728,87002.17421092
1638887760000,0.724,0.73,0.7185,0.726,39325.24123538
1638887820000,0.726,0.726,0.721,0.721,56745.48768939
1638887880000,0.721,0.729,0.721,0.7225,34193.8357729
1638887940000,0.7225,0.73,0.7224,0.7299,29586.82177638
1638888000000,0.7298,0.7579,0.7282,0.7399,99806.5100672
1638888060000,0.7397,0.7556,0.731,0.7555,55171.01223738
1638888120000,0.7555,0.7556,0.7385,0.7441,56814.017121
1638888180000,0.7472,0.7579,0.74,0.7442,42930.4965583
1638888240000,0.7442,0.757,0.74,0.7499,86020.12444282
1638888300000,0.7491,0.7665,0.7449,0.7665,89371.22998371
1638888360000,0.7665,0.7782,0.75,0.756,82258.10244099
1638888420000,0.756,0.7677,0.736,0.7435,60619.74439326
1638888480000,0.7407,0.7518,0.74,0.7494,59548.04655933
1638888540000,0.7498,0.756,0.7473,0.7473,31070.98085337
1638888600000,0.748,0.7542,0.746,0.7523,58671.01856546
1638888660000,0.7542,0.7543,0.7471,0.7471,18163.57538226
1638888720000,0.7471,0.75,0.74,0.7417,13143.70982473
1638888780000,0.7452,0.7471,0.74,0.7401,23482.28992461
1638888840000,0.7403,0.756,0.7401,0.7549,16046.51142152
1638888900000,0.755,0.756,0.7469,0.7499,27913.44452989
1638888960000,0.7469,0.75,0.7429,0.7451,5992.3786852
1638889020000,0.745,0.75,0.7428,0.75,18129.79858214
1638889080000,0.75,0.7579,0.75,0.7579,8189.3018191
1638889140000,0.7579,0.771,0.7579,0.7627,45733.55426193
1638889200000,0.7659,0.7684,0.7656,0.7664,9647.19275943
1638889260000,0.7664,0.7664,0.75,0.7554,33937.4256258
