timestamp,open,high,low,close,volume
1614333600000,0.5,0.5,0.5,0.5,5.0
1614333660000,3.0,3.0,0.27,0.8897,23383.71618962
1614333720000,0.8799,0.8799,0.5002,0.6994,1473.41380632
1614333780000,0.6994,0.7001,0.6991,0.7001,2188.96112587
1614333840000,0.79,0.7996,0.79,0.7996,499.91537214
1614333900000,0.799,0.799,0.7002,0.799,2322.9846423
1614333960000,0.7849,0.7849,0.7001,0.7785,566.00509619
1614334020000,0.75,0.77,0.7002,0.77,526.75971818
1614334080000,0.7499,0.7499,0.7005,0.7005,52.02081891
1614334140000,0.7005,0.7005,0.68,0.68,2985.0856
1614334200000,0.63,0.68,0.63,0.63,247.4478
1614334260000,0.6799,0.6799,0.63,0.6799,853.4545
1614334320000,0.6799,0.6799,0.6799,0.6799,0.0
1614334380000,0.678,0.7398,0.678,0.7397,878.20520875
1614334440000,0.7394,0.7394,0.678,0.73,124.02187784
1614334500000,0.73,0.73,0.678,0.729,903.81904224
1614334560000,0.7289,0.7289,0.7279,0.728,5942.4362
1614334620000,0.726,0.726,0.725,0.725,3511.0
1614334680000,0.7001,0.72,0.6781,0.72,369.33843333
1614334740000,0.72,0.728,0.6822,0.728,7210.18892543
1614334800000,0.683,0.7289,0.5778,0.6929,18921.5913541
1614334860000,0.6,0.692,0.6,0.692,162.7086
1614334920000,0.692,0.6986,0.692,0.6986,1014.8593
1614334980000,0.7245,0.7245,0.6986,0.6986,758.9912
1614335040000,0.7191,0.7191,0.7191,0.7191,267.1059
1614335100000,0.6987,0.6987,0.6987,0.6987,407.0
1614335160000,0.6987,0.7,0.6986,0.7,1789.9001
1614335220000,0.6987,0.7189,0.6987,0.7189,1224.6461
1614335280000,0.7188,0.7188,0.6431,0.7186,285.76242151
1614335340000,0.7094,0.71,0.655,0.655,1662.4076
1614335400000,0.7099,0.71,0.7099,0.71,4.87685661
1614335460000,0.7054,0.71,0.6901,0.6901,220.8612398
1614335520000,0.7,0.7,0.7,0.7,12.0687
1614335580000,0.7,0.7,0.7,0.7,0.0
1614335640000,0.6652,0.6652,0.6652,0.6652,1379.5167
1614335700000,0.6594,0.6594,0.6594,0.6594,146.5235
1614335760000,0.6998,0.6998,0.6998,0.6998,127.3406
1614335820000,0.6998,0.6998,0.6996,0.6997,157.88711603
1614335880000,0.6608,0.6608,0.6608,0.6608,1.5613
1614335940000,0.6652,0.6998,0.6652,0.6998,658.5235
1614336000000,0.6998,0.6998,0.6998,0.6998,0.0
1614336060000,0.6652,0.6652,0.6652,0.6652,133.831
1614336120000,0.6799,0.6799,0.6799,0.6799,12.181
1614336180000,0.67,0.699,0.67,0.67,835.9002
1614336240000,0.67,0.67,0.67,0.67,0.0
1614336300000,0.68,0.7288,0.68,0.7288,922.46412066
1614336360000,0.6728,0.7108,0.6728,0.7108,44.32777355
1614336420000,0.7108,0.7108,0.7108,0.7108,0.0
1614336480000,0.7108,0.7108,0.7108,0.7108,0.0
1614336540000,0.7108,0.7108,0.7108,0.7108,0.0
1614336600000,0.6998,0.7284,0.699,0.699,1912.4795
1614336660000,0.699,0.699,0.699,0.699,0.0
1614336720000,0.6991,0.6991,0.699,0.699,1209.4624
1614336780000,0.699,0.699,0.699,0.699,198.0
1614336840000,0.699,0.699,0.699,0.699,0.0
1614336900000,0.699,0.699,0.699,0.699,0.0
1614336960000,0.699,0.699,0.6733,0.6733,1181.8816
1614337020000,0.7155,0.7196,0.7155,0.7196,333.71372984
1614337080000,0.7155,0.7155,0.7155,0.7155,58.73111271
1614337140000,0.7114,0.7114,0.7114,0.7114,131.30770312
1614337200000,0.7114,0.7114,0.7114,0.7114,6.5527
1614337260000,0.7114,0.7114,0.681,0.6813,14.8087
1614337320000,0.6813,0.6813,0.6813,0.6813,0.0
1614337380000,0.6815,0.6815,0.6812,0.6812,55.6979
1614337440000,0.6812,0.6812,0.6812,0.6812,0.0
1614337500000,0.6816,0.6816,0.6812,0.6812,366.9455
1614337560000,0.6812,0.6812,0.6812,0.6812,0.0
1614337620000,0.7114,0.7114,0.6812,0.6812,431.651
1614337680000,0.6812,0.6812,0.6812,0.6812,986.9488
1614337740000,0.6811,0.6811,0.674,0.674,2025.939
1614337800000,0.6738,0.6738,0.6709,0.6709,1643.5528
1614337860000,0.6709,0.6709,0.6701,0.6701,71.8541
1614337920000,0.7089,0.7104,0.7089,0.7104,244.32334886
1614337980000,0.7104,0.7105,0.7104,0.7105,334.07125114
1614338040000,0.7105,0.7111,0.7105,0.7105,508.9595834
1614338100000,0.7105,0.7105,0.7105,0.7105,0.0
1614338160000,0.7105,0.7105,0.7105,0.7105,982.7222
1614338220000,0.6703,0.6703,0.6702,0.6702,156.0412
1614338280000,0.6702,0.6702,0.6702,0.6702,0.0
1614338340000,0.6702,0.6702,0.6702,0.6702,4.3384
1614338400000,0.7099,0.7099,0.7099,0.7099,211.29736582
1614338460000,0.6705,0.6705,0.6705,0.6705,4.0759
1614338520000,0.6705,0.6705,0.6705,0.6705,0.0
1614338580000,0.68,0.68,0.6703,0.6703,623.9903
1614338640000,0.6702,0.6702,0.6702,0.6702,778.6451
1614338700000,0.6702,0.6702,0.6702,0.6702,0.0
1614338760000,0.6702,0.6702,0.6702,0.6702,0.0
1614338820000,0.6702,0.6702,0.67,0.67,828.929
1614338880000,0.665,0.665,0.65,0.65,1481.7058
1614338940000,0.6315,0.635,0.6002,0.6002,1301.0654
1614339000000,0.6002,0.6002,0.6002,0.6002,0.0
1614339060000,0.672,0.672,0.613,0.613,68.43119404
1614339120000,0.672,0.6897,0.672,0.6897,304.71624379
1614339180000,0.666,0.666,0.666,0.666,4.0493
1614339240000,0.6503,0.6503,0.6502,0.6502,100.0
1614339300000,0.6502,0.6502,0.6502,0.6502,0.0
1614339360000,0.669,0.669,0.669,0.669,80.0
