timestamp,open,high,low,close,volume
1623142800000,0.244,0.41,0.244,0.3401,185021.82952265
1623142860000,0.3401,0.3412,0.3232,0.3412,105843.83761148
1623142920000,0.3412,0.355,0.3401,0.3405,53472.04914612
1623142980000,0.3419,0.3439,0.3219,0.3219,43341.04443258
1623143040000,0.3278,0.3297,0.291,0.3,96674.83746306
1623143100000,0.3199,0.3293,0.3,0.3209,40303.85265969
1623143160000,0.3207,0.322,0.315,0.315,28382.65871617
1623143220000,0.3149,0.3149,0.3008,0.301,4738.47770594
1623143280000,0.3055,0.313,0.301,0.3099,12453.11551094
1623143340000,0.31,0.3138,0.3025,0.303,17132.74038639
1623143400000,0.3076,0.3087,0.2811,0.2811,31220.86970494
1623143460000,0.2864,0.2998,0.2811,0.297,9298.70177758
1623143520000,0.2969,0.298,0.2904,0.2919,9784.84271226
1623143580000,0.2968,0.3,0.2957,0.2976,16100.46411418
1623143640000,0.2998,0.3,0.291,0.2911,8180.36323889
1623143700000,0.2979,0.2997,0.2917,0.2996,2773.11674064
1623143760000,0.2923,0.2996,0.2923,0.2979,2292.7153
1623143820000,0.2978,0.2989,0.2851,0.2851,22290.98348555
1623143880000,0.2899,0.2899,0.2851,0.2861,2241.01227141
1623143940000,0.289,0.314,0.289,0.3139,13032.70502103
1623144000000,0.314,0.318,0.3,0.306,14767.99049404
1623144060000,0.306,0.306,0.3,0.3,1473.55575952
1623144120000,0.304,0.3099,0.292,0.2951,1866.59879313
1623144180000,0.303,0.31,0.2955,0.2965,25638.3195
1623144240000,0.2966,0.3099,0.2966,0.3003,61.51757121
1623144300000,0.3007,0.3007,0.3003,0.3003,355.7849
1623144360000,0.3,0.3,0.2951,0.2952,4614.9499
1623144420000,0.2956,0.308,0.2953,0.2953,2775.78594415
1623144480000,0.305,0.305,0.2955,0.3039,355.70827214
1623144540000,0.2956,0.303,0.295,0.295,3418.72415112
1623144600000,0.2955,0.2999,0.29,0.299,1959.16582297
1623144660000,0.29,0.296,0.2888,0.2888,2267.88468001
1623144720000,0.2948,0.296,0.2887,0.296,765.71041512
1623144780000,0.2942,0.2966,0.2893,0.295,1522.72695948
1623144840000,0.2948,0.296,0.2906,0.291,1116.15385301
1623144900000,0.294,0.294,0.2914,0.2915,340.92354746
1623144960000,0.2934,0.2934,0.29,0.29,3453.80690088
1623145020000,0.2921,0.2921,0.2891,0.29,1480.33149285
1623145080000,0.2892,0.29,0.2835,0.2835,3328.30262758
1623145140000,0.284,0.284,0.2801,0.2801,3188.8956
1623145200000,0.2802,0.287,0.2783,0.28,7848.65320871
1623145260000,0.28,0.2803,0.2721,0.2721,5234.8336
1623145320000,0.2716,0.2798,0.268,0.2707,11487.8952
1623145380000,0.2793,0.28,0.2718,0.2718,4359.4062
1623145440000,0.2721,0.28,0.2718,0.2719,4678.22686708
1623145500000,0.2719,0.2798,0.2717,0.2717,2755.70500707
1623145560000,0.2727,0.277,0.2723,0.2724,1522.7826
1623145620000,0.2724,0.2779,0.2723,0.2723,3864.82443483
1623145680000,0.2701,0.2706,0.2661,0.2665,5929.0907
1623145740000,0.2667,0.2681,0.2667,0.2681,1199.444
1623145800000,0.2753,0.2753,0.2752,0.2753,1700.1967
1623145860000,0.2755,0.28,0.2755,0.2762,6707.6105
1623145920000,0.28,0.284,0.2777,0.2811,4721.3094
1623145980000,0.284,0.284,0.2762,0.2773,4259.99
1623146040000,0.28,0.2838,0.2762,0.2785,1568.9803
1623146100000,0.281,0.281,0.2767,0.2767,588.9792
1623146160000,0.2767,0.2799,0.2767,0.2768,3235.05857755
1623146220000,0.2768,0.28,0.2767,0.2767,1694.2626322
1623146280000,0.2768,0.2768,0.2704,0.2704,4216.6556
1623146340000,0.2704,0.2706,0.2701,0.2701,17265.0104
1623146400000,0.2705,0.2796,0.2701,0.277,2311.78239983
1623146460000,0.277,0.277,0.27,0.2768,8049.1395786
