timestamp,open,high,low,close,volume
1626775200000,2.31,3.11,2.31,3.0747,1078.2887
1626775260000,3.0894,3.11,3.08,3.11,2038.9776
1626775320000,3.1099,3.1336,3.05,3.1336,2673.31886852
1626775380000,3.1199,3.1631,3.1199,3.1631,1108.84652595
1626775440000,3.1631,3.1631,3.041,3.1,1154.34159112
1626775500000,3.158,3.1589,3.06,3.09,579.70266493
1626775560000,3.07,3.1397,3.07,3.1397,838.8931
1626775620000,3.1397,3.1778,3.1397,3.1398,1708.29908266
1626775680000,3.1397,3.1778,3.1,3.1778,453.19975734
1626775740000,3.1499,3.1778,3.13,3.1777,454.37564344
1626775800000,3.1305,3.1776,3.1305,3.1776,524.4195
1626775860000,3.1501,3.1778,3.15,3.16,417.60656919
1626775920000,3.1778,3.1778,3.15,3.1777,610.07441294
1626775980000,3.1501,3.1777,3.15,3.177,333.127
1626776040000,3.177,3.1778,3.1503,3.1778,437.11169073
1626776100000,3.153,3.1925,3.153,3.1918,618.41867443
1626776160000,3.16,3.1918,3.1543,3.1918,426.8234
1626776220000,3.16,3.1918,3.155,3.1917,292.6236
1626776280000,3.16,3.191,3.155,3.155,1130.4323
1626776340000,3.1549,3.191,3.1547,3.182,511.2653
1626776400000,3.16,3.182,3.1547,3.1818,488.18063086
1626776460000,3.1548,3.1818,3.1547,3.1814,378.66429711
1626776520000,3.1547,3.1817,3.1547,3.1547,494.4074
1626776580000,3.1547,3.1799,3.1547,3.179,416.25336932
1626776640000,3.1789,3.179,3.1547,3.1787,809.24953068
1626776700000,3.1551,3.178,3.1547,3.1549,608.6237
1626776760000,3.1769,3.1788,3.1547,3.1784,519.19233107
1626776820000,3.175,3.178,3.1547,3.1776,381.3074
1626776880000,3.1602,3.1925,3.1548,3.1925,794.5059809
1626776940000,3.1618,3.1925,3.1556,3.1898,417.9871
1626777000000,3.16,3.1925,3.1559,3.1925,602.46214886
1626777060000,3.1925,3.1925,3.1568,3.1925,219.9568
1626777120000,3.1924,3.1925,3.16,3.1922,266.1637
1626777180000,3.1601,3.1924,3.16,3.192,395.3852
1626777240000,3.1916,3.1916,3.16,3.1894,232.3741
1626777300000,3.1563,3.18,3.15,3.15,1462.2793
1626777360000,3.15,3.1832,3.15,3.1743,477.43693811
1626777420000,3.1743,3.1744,3.041,3.07,1145.57489491
1626777480000,3.07,3.0812,3.0411,3.0811,510.30184111
1626777540000,3.0507,3.0999,3.05,3.0999,279.84281829
1626777600000,3.0999,3.1,3.0413,3.0994,156.90624043
1626777660000,3.07,3.0994,3.0413,3.07,250.7951
1626777720000,3.06,3.0948,3.0411,3.0411,348.66665719
1626777780000,3.06,3.0948,3.0411,3.0417,447.66116149
1626777840000,3.0598,3.0904,3.0418,3.0904,205.4356
1626777900000,3.07,3.1,3.06,3.0999,413.17392488
1626777960000,3.0781,3.0999,3.07,3.0996,350.498
1626778020000,3.0701,3.0995,3.0424,3.0426,440.23984397
1626778080000,3.0434,3.0799,3.0433,3.0799,94.22954858
1626778140000,3.0507,3.0799,3.0437,3.0799,171.0394
1626778200000,3.0444,3.08,3.0443,3.08,58.29910045
1626778260000,3.05,3.0995,3.05,3.0995,264.86045603
1626778320000,3.07,3.0995,3.0699,3.0995,163.7689
1626778380000,3.07,3.0995,3.07,3.0995,57.0909
1626778440000,3.0701,3.0995,3.07,3.0995,218.5088
1626778500000,3.069,3.0992,3.0441,3.099,168.47758247
1626778560000,3.07,3.0812,3.0442,3.0809,163.9719
1626778620000,3.06,3.0805,3.05,3.0501,226.6302
1626778680000,3.0501,3.0805,3.05,3.0805,399.59972729
1626778740000,3.0445,3.0901,3.0444,3.0895,389.50001573
1626778800000,3.06,3.0895,3.0443,3.0895,277.38635939
1626778860000,3.0444,3.072,3.043,3.05,299.844
1626778920000,3.05,3.0804,3.0423,3.0423,118.7529
1626778980000,3.072,3.0799,3.0423,3.072,77.5245
1626779040000,3.0512,3.0719,3.041,3.0705,373.9142
1626779100000,3.06,3.0629,3.041,3.0629,67.5603
1626779160000,3.0708,3.0708,3.0411,3.0705,281.18342202
1626779220000,3.0412,3.0705,3.0411,3.0411,321.4344
1626779280000,3.0705,3.0706,3.0411,3.0704,304.23594226
1626779340000,3.0417,3.0704,3.0411,3.0704,326.9217
1626779400000,3.05,3.0704,3.0411,3.0704,182.0008
1626779460000,3.0416,3.0704,3.0411,3.0704,174.1216
1626779520000,3.0412,3.0704,3.0411,3.0703,415.17914537
1626779580000,3.0703,3.0703,3.04,3.04,249.49459349
1626779640000,3.0703,3.0703,3.03,3.0629,196.8799
1626779700000,3.06,3.0701,3.04,3.0701,153.37452409
1626779760000,3.04,3.0701,3.0236,3.0236,158.3791
1626779820000,3.04,3.0699,3.0236,3.0538,186.275
1626779880000,3.04,3.0699,3.0243,3.0629,178.7135
1626779940000,3.04,3.0694,3.0236,3.0538,111.3039
1626780000000,3.04,3.0695,3.0236,3.0236,190.5359
1626780060000,3.03,3.0628,3.03,3.0417,102.5345
1626780120000,3.03,3.0697,3.0168,3.0169,1086.20684692
1626780180000,3.02,3.0538,3.01,3.0447,292.7857
1626780240000,3.04,3.0697,3.01,3.04,297.091641
1626780300000,3.04,3.04,2.981,3.0056,326.5468
1626780360000,2.981,3.0349,2.98,2.9999,397.1621
1626780420000,2.98,3.0176,2.7481,3.0176,2361.7557
1626780480000,2.9879,2.9879,2.7483,2.7483,112.8721
1626780540000,2.7678,2.8009,2.7678,2.8009,10.24372647
1626780600000,2.8009,3.0262,2.8009,3.0262,32.37841049
1626780660000,2.7733,2.9087,2.7687,2.9087,10.5084
1626780720000,2.9087,2.9995,2.8914,2.9995,742.9845481
1626780780000,2.9881,2.9984,2.9348,2.9348,40.54026584
1626780840000,2.9348,2.9348,2.9348,2.9348,0.0
1626780900000,2.9348,2.9348,2.9348,2.9348,0.0
1626780960000,2.9612,2.9612,2.9087,2.9087,59.8535
1626781020000,2.9001,2.9001,2.7698,2.7698,9.627
1626781080000,2.7702,2.989,2.7702,2.989,100.52660891
1626781140000,2.86,2.9553,2.86,2.9553,0.7833
1626781200000,2.9553,2.9553,2.9553,2.9553,0.0
1626781260000,2.9524,2.9524,2.8149,2.8149,3.7152
1626781320000,2.8944,2.9553,2.8944,2.9553,52.8474636
1626781380000,2.866,2.9888,2.866,2.9888,141.19917722
1626781440000,2.935,2.935,2.8113,2.8113,79.1939
1626781500000,2.9116,2.9465,2.9116,2.9465,0.7755
1626781560000,2.9003,2.9029,2.9003,2.9029,0.7934
