timestamp,open,high,low,close,volume
1611306000000,5.0,7.328,5.0,7.328,1.0616
1611306060000,6.481,6.481,6.48,6.48,27.56946935
1611306120000,6.261,6.467,6.213,6.376,126.82546314
1611306180000,6.371,6.371,6.251,6.298,90.9853
1611306240000,6.225,6.391,6.225,6.391,123.95450244
1611306300000,6.281,6.359,6.281,6.288,69.92399866
1611306360000,6.288,6.315,6.225,6.315,95.2326
1611306420000,6.315,6.315,6.263,6.269,101.2342
1611306480000,6.269,6.275,6.266,6.275,19.4114
1611306540000,6.275,6.301,6.275,6.289,68.7865
1611306600000,6.289,6.322,6.289,6.289,100.8898
1611306660000,6.289,6.309,6.289,6.309,43.0093
1611306720000,6.309,6.325,6.309,6.323,17.8847
1611306780000,6.323,6.323,6.307,6.307,77.047
1611306840000,6.307,6.353,6.307,6.353,56.87299428
1611306900000,6.353,6.353,6.353,6.353,0.01
1611306960000,6.353,6.354,6.31,6.354,62.09600572
1611307020000,6.354,6.354,6.334,6.334,29.5393
1611307080000,6.334,6.369,6.322,6.348,60.38001557
1611307140000,6.348,6.348,6.323,6.323,8.4159
1611307200000,6.323,6.335,6.311,6.335,44.9037
1611307260000,6.335,6.335,6.318,6.318,103.4633
1611307320000,6.318,6.334,6.318,6.32,67.5
1611307380000,6.32,6.329,6.32,6.329,19.362
1611307440000,6.329,6.354,6.32,6.354,85.5395
1611307500000,6.347,6.356,6.32,6.345,130.1054
1611307560000,6.345,6.345,6.323,6.323,8.5566
1611307620000,6.323,6.425,6.3,6.3,72.104
1611307680000,6.42,6.455,6.3,6.305,99.4121
1611307740000,6.449,6.472,6.305,6.386,52.9355
1611307800000,6.326,6.46,6.326,6.326,153.9932
1611307860000,6.326,6.453,6.325,6.382,167.1575
1611307920000,6.332,6.461,6.332,6.358,50.7845
1611307980000,6.446,6.456,6.358,6.358,3.31
1611308040000,6.444,6.588,6.358,6.489,77.6238
1611308100000,6.489,6.489,6.358,6.467,19.0183
1611308160000,6.384,6.491,6.383,6.451,64.6721
1611308220000,6.462,6.515,6.384,6.506,71.6992
1611308280000,6.384,6.507,6.384,6.432,141.89372573
1611308340000,6.41,6.438,6.41,6.438,6.0324
1611308400000,6.445,6.483,6.438,6.438,146.7249
1611308460000,6.441,6.483,6.441,6.483,70.35423891
1611308520000,6.387,6.459,6.387,6.387,60.5667
1611308580000,6.458,6.458,6.387,6.409,54.8285
1611308640000,6.409,6.413,6.383,6.383,35.318
1611308700000,6.413,6.462,6.384,6.454,106.6252
1611308760000,6.384,6.42,6.384,6.42,44.5601
1611308820000,6.385,6.415,6.385,6.398,57.4647
1611308880000,6.398,6.398,6.385,6.39,83.7332
1611308940000,6.39,6.394,6.383,6.383,8.6631
1611309000000,6.383,6.387,6.383,6.386,51.2825
1611309060000,6.415,6.415,6.386,6.386,100.81933039
1611309120000,6.413,6.469,6.387,6.388,84.216899
1611309180000,6.466,6.466,6.387,6.406,65.5531
1611309240000,6.406,6.435,6.405,6.435,91.8273
1611309300000,6.388,6.461,6.388,6.389,42.106
1611309360000,6.405,6.411,6.402,6.411,84.4219
1611309420000,6.411,6.419,6.389,6.389,60.5173
1611309480000,6.389,6.398,6.385,6.385,6.4891
1611309540000,6.385,6.385,6.384,6.384,46.7051
1611309600000,6.384,6.42,6.378,6.42,349.6365947
1611309660000,6.372,6.379,6.372,6.379,58.2991
1611309720000,6.379,6.393,6.379,6.393,65.7212
1611309780000,6.403,6.413,6.393,6.413,87.67868883
1611309840000,6.422,6.431,6.422,6.431,86.85197514
1611309900000,6.423,6.423,6.262,6.355,55.56828115
1611309960000,6.417,6.461,6.287,6.458,91.6052
1611310020000,6.316,6.458,6.316,6.334,65.7541
1611310080000,6.334,6.461,6.334,6.442,96.6185
1611310140000,6.273,6.436,6.27,6.342,120.4574
1611310200000,6.431,6.468,6.31,6.361,91.1258
1611310260000,6.405,6.422,6.335,6.422,103.8239
1611310320000,6.336,6.427,6.336,6.367,47.57962752
1611310380000,6.427,6.462,6.336,6.336,6.5839
1611310440000,6.336,6.431,6.336,6.336,20.8199
1611310500000,6.455,6.462,6.336,6.43,75.1826
1611310560000,6.336,6.439,6.262,6.262,59.0498
1611310620000,6.262,6.416,6.262,6.405,69.1275
1611310680000,6.335,6.388,6.251,6.276,34.3447
1611310740000,6.369,6.395,6.236,6.236,20.036
1611310800000,6.373,6.376,6.236,6.356,25.8179
1611310860000,6.356,6.356,6.224,6.261,100.3385
1611310920000,6.35,6.353,6.224,6.344,9.128
1611310980000,6.282,6.358,6.224,6.224,27.6832
1611311040000,6.224,6.364,6.224,6.225,60.3024
1611311100000,6.225,6.36,6.225,6.34,86.6482
1611311160000,6.263,6.333,6.225,6.254,38.1098
1611311220000,6.225,6.314,6.225,6.225,14.2217
1611311280000,6.318,6.328,6.225,6.225,45.6158
