timestamp,open,high,low,close,volume
1619690400000,0.05,1.2,0.05,0.9882,89688.18868912
1619690460000,0.87,0.9898,0.7902,0.9,31071.1573272
1619690520000,0.9499,0.9879,0.9,0.9505,35149.37665359
1619690580000,0.9799,1.5,0.9506,1.45,39295.71288105
1619690640000,1.4001,2.0,1.4001,2.0,45761.93699494
1619690700000,1.9999,2.0,1.0499,1.2201,29361.61572218
1619690760000,1.2201,1.52,1.2003,1.5,21953.82788509
1619690820000,1.4509,1.4999,1.3604,1.3996,10828.65459847
1619690880000,1.3995,1.3997,1.1,1.1003,20866.70313979
1619690940000,1.1202,1.199,0.78,0.9798,61031.29278715
1619691000000,0.851,0.8511,0.5105,0.5998,84927.5323016
1619691060000,0.5998,0.699,0.56,0.6489,60622.72961995
1619691120000,0.621,0.621,0.5,0.5,71909.24819298
1619691180000,0.5011,0.5011,0.36,0.4968,72877.29054461
1619691240000,0.4968,0.4969,0.4223,0.4302,55240.99241139
1619691300000,0.4497,0.69,0.44,0.6,98579.68343144
1619691360000,0.5999,0.7,0.5555,0.5555,108624.28075887
1619691420000,0.5998,0.5999,0.5095,0.5308,40224.54214809
1619691480000,0.5596,0.56,0.51,0.5199,45528.99566733
1619691540000,0.5123,0.5123,0.45,0.469,54945.74546108
1619691600000,0.5024,0.5099,0.4502,0.4506,37793.4662868
1619691660000,0.4505,0.4506,0.43,0.43,23759.58278275
1619691720000,0.4279,0.47,0.412,0.45,58089.40255557
1619691780000,0.4499,0.45,0.411,0.4141,55429.61317823
1619691840000,0.445,0.4741,0.4134,0.4741,33277.68074391
1619691900000,0.474,0.4741,0.4398,0.4398,50694.79433485
1619691960000,0.4399,0.44,0.4031,0.4194,29345.11435094
1619692020000,0.4278,0.4329,0.4038,0.429,25214.94655158
1619692080000,0.42,0.428,0.4118,0.4118,31283.17107868
1619692140000,0.412,0.4329,0.4115,0.4297,32348.58205308
1619692200000,0.4296,0.46,0.4209,0.455,35898.99920682
1619692260000,0.455,0.466,0.4349,0.4437,22127.71066366
1619692320000,0.4438,0.4438,0.4008,0.4136,107799.28123568
1619692380000,0.4135,0.4136,0.3501,0.3781,90557.0551177
1619692440000,0.3819,0.3941,0.3557,0.3557,27717.57142526
1619692500000,0.3699,0.3699,0.3025,0.3099,138740.86854585
1619692560000,0.31,0.36,0.3099,0.3596,63623.3056764
1619692620000,0.3591,0.3595,0.3,0.3101,164028.1056391
1619692680000,0.3102,0.32,0.3031,0.3141,87344.35870574
1619692740000,0.3172,0.3295,0.305,0.3105,36548.81195438
1619692800000,0.3151,0.3346,0.3111,0.3218,14164.98385557
1619692860000,0.33,0.3497,0.33,0.3497,24513.10629391
1619692920000,0.3499,0.3698,0.3422,0.3422,52365.35066178
1619692980000,0.3415,0.344,0.3198,0.3379,18237.66528549
