timestamp,open,high,low,close,volume
1637316000000,1.184,1.632,1.184,1.44,78426.7035
1637316060000,1.44,1.4994,1.4252,1.4722,54647.07250595
1637316120000,1.4678,1.4722,1.42,1.4353,26909.34629781
1637316180000,1.4399,1.45,1.4199,1.42,32789.81898727
1637316240000,1.4257,1.4499,1.3696,1.3877,23875.22497435
1637316300000,1.3882,1.4199,1.3882,1.41,14344.19548977
1637316360000,1.41,1.4363,1.41,1.4363,5730.60317631
1637316420000,1.4364,1.45,1.3916,1.4384,9587.73224467
1637316480000,1.4384,1.49,1.4215,1.4215,7976.22403509
1637316540000,1.4585,1.4898,1.454,1.4754,2391.95551385
1637316600000,1.4537,1.5,1.4501,1.4888,4770.04513356
1637316660000,1.4888,1.5174,1.48,1.4906,16370.58834255
1637316720000,1.4852,1.5112,1.45,1.4912,6307.85659177
1637316780000,1.4944,1.5149,1.4835,1.5098,7482.69700238
1637316840000,1.51,1.51,1.46,1.4799,8108.81466323
1637316900000,1.4798,1.4798,1.421,1.4497,9933.9555165
1637316960000,1.4449,1.455,1.423,1.4356,1452.05454081
1637317020000,1.4318,1.436,1.4182,1.4297,3029.79225818
1637317080000,1.4304,1.4304,1.4182,1.4232,3275.75960727
1637317140000,1.4232,1.5,1.4125,1.4462,11958.30802269
1637317200000,1.4406,1.4406,1.3914,1.3914,22524.0512
1637317260000,1.3915,1.3944,1.3666,1.3773,15360.6996791
1637317320000,1.379,1.478,1.3742,1.4054,12312.02960497
1637317380000,1.4055,1.4055,1.3839,1.3866,2202.8333
1637317440000,1.3837,1.3837,1.371,1.3728,2480.84181305
1637317500000,1.3728,1.4051,1.3728,1.3792,1356.97150697
1637317560000,1.379,1.3911,1.3782,1.3907,1079.14735847
1637317620000,1.3882,1.4102,1.3882,1.41,4190.78555956
1637317680000,1.4103,1.4225,1.404,1.4184,2721.82410938
1637317740000,1.4184,1.4194,1.4051,1.4079,832.7305
1637317800000,1.4051,1.4051,1.3616,1.38,17768.02276514
1637317860000,1.3801,1.4118,1.379,1.3872,1807.50236262
1637317920000,1.3861,1.3861,1.3822,1.3833,243.96684595
1637317980000,1.38,1.38,1.3795,1.3796,78.15510329
1637318040000,1.379,1.379,1.355,1.3602,16346.70358778
1637318100000,1.36,1.376,1.355,1.355,1915.10934675
1637318160000,1.356,1.4,1.351,1.3808,4871.19531655
1637318220000,1.38,1.39,1.3734,1.3846,2274.13196829
1637318280000,1.3846,1.3846,1.3728,1.3728,2262.17665065
1637318340000,1.3729,1.38,1.351,1.3678,2031.16436703
1637318400000,1.364,1.38,1.3469,1.3488,4028.19509211
1637318460000,1.3488,1.3488,1.31,1.3137,7071.88521055
1637318520000,1.3169,1.3338,1.3,1.3,16015.15251139
1637318580000,1.308,1.347,1.3068,1.3288,1760.27167441
1637318640000,1.3269,1.3269,1.2981,1.2981,11518.53212767
1637318700000,1.2981,1.3,1.26,1.2847,5022.13495222
1637318760000,1.2813,1.2813,1.26,1.2696,831.06599063
1637318820000,1.2697,1.2801,1.261,1.2662,1728.3111555
1637318880000,1.2697,1.2811,1.2532,1.2689,8012.36719186
1637318940000,1.2648,1.2648,1.2414,1.252,14866.50492123
1637319000000,1.2572,1.3125,1.2572,1.2961,2915.14547387
1637319060000,1.296,1.3009,1.28,1.2929,1442.51876494
1637319120000,1.293,1.293,1.27,1.2797,603.65741593
1637319180000,1.2761,1.28,1.2612,1.2685,5232.78975419
1637319240000,1.2722,1.29,1.2687,1.2747,353.3904
1637319300000,1.2746,1.2767,1.269,1.2767,502.2786
1637319360000,1.271,1.2764,1.271,1.2764,920.1845772
1637319420000,1.2764,1.29,1.2747,1.29,477.98391458
1637319480000,1.2848,1.2997,1.2501,1.2513,5036.92850466
1637319540000,1.2512,1.2972,1.24,1.2906,10097.14646039
1637319600000,1.2906,1.2906,1.2792,1.2804,611.6532
1637319660000,1.2798,1.2798,1.2399,1.25,4835.0563
1637319720000,1.2561,1.2583,1.2462,1.249,1366.05623128
1637319780000,1.249,1.257,1.2402,1.2567,703.3983
1637319840000,1.2553,1.269,1.2545,1.264,1189.05292857
1637319900000,1.2627,1.2627,1.24,1.2471,5826.4869
1637319960000,1.2465,1.25,1.2,1.2092,17543.9206
1637320020000,1.2092,1.2424,1.2092,1.2171,726.14454081
1637320080000,1.2175,1.22,1.2147,1.2147,240.9695
1637320140000,1.215,1.2236,1.215,1.2236,523.47244488
1637320200000,1.2235,1.23,1.2235,1.227,5485.35989381
1637320260000,1.2262,1.2267,1.1989,1.2057,9033.9784
1637320320000,1.2057,1.23,1.2022,1.2248,1909.52563442
1637320380000,1.2253,1.2479,1.2253,1.2432,4983.75970588
1637320440000,1.2467,1.3499,1.1989,1.2663,7313.65102559
1637320500000,1.2663,1.288,1.2663,1.2864,1601.68102083
1637320560000,1.2882,1.2981,1.2864,1.2865,1747.0075
1637320620000,1.2865,1.2865,1.2572,1.2855,3634.7059547
1637320680000,1.2754,1.284,1.23,1.275,1611.97878411
1637320740000,1.2697,1.27,1.26,1.26,274.22537044
1637320800000,1.2581,1.2864,1.2561,1.2594,580.51527882
1637320860000,1.2589,1.3355,1.215,1.2398,5968.80961142
1637320920000,1.2404,1.26,1.2404,1.26,2746.9683
1637320980000,1.26,1.2624,1.26,1.26,305.3858
1637321040000,1.2624,1.2659,1.26,1.2606,232.57297545
1637321100000,1.26,1.284,1.26,1.273,1158.01055754
1637321160000,1.273,1.273,1.2659,1.272,215.2423
1637321220000,1.2721,1.2941,1.2659,1.2672,1105.05373011
1637321280000,1.2707,1.2978,1.2707,1.2922,1525.77174684
1637321340000,1.2922,1.2922,1.2659,1.2659,109.2949
1637321400000,1.2685,1.2685,1.2667,1.2667,84.29493273
1637321460000,1.2667,1.2667,1.26,1.26,152.1924
1637321520000,1.2614,1.2614,1.26,1.2609,484.4668
1637321580000,1.2602,1.2602,1.26,1.26,329.0717
1637321640000,1.26,1.3014,1.26,1.2846,3214.57757834
1637321700000,1.2869,1.2869,1.26,1.268,622.37995652
1637321760000,1.268,1.268,1.268,1.268,70.1375
1637321820000,1.2717,1.3126,1.2717,1.296,1168.68738631
1637321880000,1.3031,1.3031,1.29,1.2913,200.6988
1637321940000,1.2913,1.2913,1.2913,1.2913,0.0
1637322000000,1.2929,1.3006,1.2929,1.3006,119.7806
1637322060000,1.3006,1.3006,1.3006,1.3006,1.238
