timestamp,open,high,low,close,volume
1639044000000,0.57,0.7651,0.57,0.7521,70391.9143
1639044060000,0.752,0.78,0.7506,0.7542,99359.65492723
1639044120000,0.7542,0.7542,0.715,0.715,56081.85128212
1639044180000,0.7399,0.74,0.715,0.7299,22091.47664625
1639044240000,0.7299,0.73,0.72,0.725,24836.78439594
1639044300000,0.725,0.7324,0.7232,0.7247,18981.27256532
1639044360000,0.7248,0.7253,0.7182,0.7204,17060.8661616
1639044420000,0.7199,0.7247,0.7113,0.7239,20707.45454128
1639044480000,0.7169,0.725,0.7002,0.7203,24314.50721633
1639044540000,0.72,0.7203,0.7165,0.7169,3648.70973812
1639044600000,0.7169,0.7186,0.7161,0.7161,4199.20037755
1639044660000,0.7155,0.7155,0.7083,0.7096,2169.35823467
1639044720000,0.7097,0.7099,0.7081,0.7096,1078.98568553
1639044780000,0.7094,0.7094,0.7056,0.7056,5518.74023227
1639044840000,0.7056,0.7056,0.6899,0.6899,38435.00568786
1639044900000,0.6899,0.69,0.686,0.6867,11038.50886425
1639044960000,0.6867,0.69,0.6867,0.69,9950.87536972
1639045020000,0.69,0.6957,0.69,0.6957,5788.6132
1639045080000,0.6958,0.708,0.6946,0.708,9071.8976585
1639045140000,0.708,0.7203,0.6981,0.7021,18250.43239227
1639045200000,0.7022,0.7027,0.7021,0.7021,5354.08306644
1639045260000,0.7027,0.703,0.7021,0.703,13660.86067851
1639045320000,0.7021,0.703,0.7021,0.703,1018.54745533
1639045380000,0.7021,0.7032,0.7021,0.7021,2201.83964141
1639045440000,0.7021,0.7028,0.7021,0.7022,3510.2192
1639045500000,0.7023,0.7037,0.7022,0.7037,2191.81121345
1639045560000,0.7036,0.7049,0.7036,0.7049,981.12343785
1639045620000,0.7049,0.705,0.7022,0.7024,1872.61522351
1639045680000,0.7049,0.7056,0.7031,0.7055,2555.21563839
1639045740000,0.7049,0.7049,0.7024,0.7025,150.3389
1639045800000,0.7033,0.7033,0.7021,0.7021,7615.4541
1639045860000,0.7021,0.7022,0.7021,0.7021,3189.9562
1639045920000,0.7022,0.7022,0.7021,0.7021,1677.76353902
1639045980000,0.7021,0.7021,0.7009,0.7009,3358.0494
1639046040000,0.7009,0.7022,0.7002,0.7002,502.1028
1639046100000,0.7003,0.7034,0.692,0.692,20292.9919
1639046160000,0.6936,0.6971,0.6924,0.6924,4066.73179379
1639046220000,0.6957,0.6962,0.6924,0.6925,354.5583
1639046280000,0.6925,0.6954,0.6925,0.6925,39.24722128
1639046340000,0.6935,0.6956,0.6925,0.6925,1041.25127139
1639046400000,0.6955,0.6955,0.6925,0.6925,253.13362264
1639046460000,0.6953,0.6957,0.6953,0.6956,268.23792578
1639046520000,0.6928,0.6931,0.6918,0.6918,1980.9391
1639046580000,0.6918,0.6918,0.6918,0.6918,0.0
1639046640000,0.6915,0.6915,0.6915,0.6915,27.4305
1639046700000,0.6915,0.6915,0.6898,0.6898,1665.6031
1639046760000,0.6926,0.6926,0.6918,0.6918,774.33396032
1639046820000,0.6918,0.6918,0.6884,0.6884,1987.1447
1639046880000,0.6884,0.6884,0.6884,0.6884,0.0
1639046940000,0.6908,0.6908,0.688,0.688,1133.405
1639047000000,0.688,0.688,0.688,0.688,427.0773
1639047060000,0.6879,0.6903,0.6879,0.688,1273.8743
1639047120000,0.6903,0.6904,0.6902,0.6903,663.4332
1639047180000,0.6903,0.6903,0.6903,0.6903,30.8347
1639047240000,0.6904,0.6921,0.6903,0.6903,485.77240791
1639047300000,0.6904,0.6904,0.6904,0.6904,32.9654
1639047360000,0.6922,0.6926,0.6909,0.6909,1450.13180799
1639047420000,0.6924,0.6926,0.6924,0.6926,277.47314968
1639047480000,0.6926,0.6926,0.6908,0.6925,927.63381061
1639047540000,0.6925,0.6925,0.6925,0.6925,107.5589
1639047600000,0.6925,0.6926,0.6925,0.6926,492.784
1639047660000,0.6923,0.6928,0.6923,0.6923,302.86435618
1639047720000,0.6911,0.6923,0.6907,0.6907,989.14877333
1639047780000,0.6907,0.6907,0.6907,0.6907,0.0
1639047840000,0.6903,0.6903,0.6903,0.6903,929.2878
1639047900000,0.6903,0.6903,0.6901,0.6901,600.4029
1639047960000,0.6893,0.6893,0.6893,0.6893,79.32
1639048020000,0.6889,0.6889,0.6888,0.6888,535.8025
1639048080000,0.6893,0.6893,0.6888,0.6893,1181.5219
1639048140000,0.6899,0.69,0.6899,0.69,494.9923
1639048200000,0.69,0.6901,0.6883,0.6901,1292.2319
1639048260000,0.6902,0.6902,0.6882,0.6901,2088.4556
1639048320000,0.6886,0.69,0.6882,0.69,601.997
1639048380000,0.6897,0.6923,0.6897,0.69,1626.02660891
1639048440000,0.691,0.6911,0.6898,0.6898,1922.81242004
1639048500000,0.6915,0.6915,0.6915,0.6915,46.56312364
1639048560000,0.6901,0.6901,0.688,0.688,3128.046
1639048620000,0.688,0.688,0.688,0.688,0.0
1639048680000,0.6901,0.6916,0.6897,0.6911,323.78034933
1639048740000,0.6899,0.6901,0.688,0.6901,762.554
1639048800000,0.6901,0.6901,0.6901,0.6901,0.0
1639048860000,0.6902,0.6902,0.6902,0.6902,185.88597507
1639048920000,0.6904,0.6904,0.6898,0.6898,90.06621761
1639048980000,0.6891,0.6891,0.6868,0.6868,2217.1904
1639049040000,0.6878,0.6898,0.6867,0.6897,522.3413
1639049100000,0.6897,0.6897,0.6884,0.6884,361.31520778
1639049160000,0.688,0.6882,0.688,0.6882,387.60105969
1639049220000,0.6882,0.6899,0.6882,0.6898,155.62365043
1639049280000,0.6897,0.6898,0.6897,0.6898,394.4143
1639049340000,0.6898,0.6898,0.6898,0.6898,304.49695563
1639049400000,0.6883,0.6898,0.6882,0.6898,266.37138155
1639049460000,0.6883,0.6883,0.6882,0.6882,228.9998
