timestamp,open,high,low,close,volume
1639486800000,0.012,0.6,0.012,0.5784,915976.4049
1639486860000,0.5784,0.5797,0.2395,0.398,1365455.86989642
1639486920000,0.3724,0.4,0.302,0.3273,729323.15582995
1639486980000,0.3273,0.3282,0.2433,0.2696,694403.57695887
1639487040000,0.2688,0.32,0.25,0.25,801485.00084711
1639487100000,0.2768,0.2793,0.14,0.18,1768536.02360256
1639487160000,0.18,0.2099,0.178,0.1799,803082.20232146
1639487220000,0.1798,0.1899,0.17,0.1746,747632.75140881
1639487280000,0.1746,0.1786,0.1268,0.1399,1735792.17486883
1639487340000,0.1399,0.14,0.1386,0.1397,224561.22837303
1639487400000,0.14,0.15,0.1397,0.15,523334.81105074
1639487460000,0.149,0.165,0.149,0.1557,802327.21040516
1639487520000,0.1557,0.156,0.15,0.153,231153.07853657
1639487580000,0.1522,0.153,0.15,0.1505,138791.56333985
1639487640000,0.1508,0.1508,0.14,0.1428,533234.1187905
1639487700000,0.1433,0.151,0.1345,0.1476,789407.37085718
1639487760000,0.1476,0.151,0.1196,0.1219,2112733.0229231
1639487820000,0.122,0.125,0.112,0.124,534236.74857726
1639487880000,0.124,0.1246,0.1136,0.118,435093.18464391
1639487940000,0.1177,0.1179,0.112,0.1149,338849.69216186
1639488000000,0.1149,0.12,0.1144,0.1145,202990.14073766
1639488060000,0.1149,0.118,0.1113,0.118,520651.12248069
1639488120000,0.118,0.13,0.115,0.13,802720.03840634
1639488180000,0.13,0.13,0.1244,0.126,344459.36547418
1639488240000,0.1258,0.13,0.125,0.1295,555287.04992864
1639488300000,0.1294,0.1296,0.1288,0.1289,138638.17708325
1639488360000,0.1289,0.1289,0.1221,0.123,182584.21956062
1639488420000,0.123,0.1256,0.116,0.117,609920.8497157
1639488480000,0.1165,0.122,0.1165,0.1202,357361.15636632
1639488540000,0.1202,0.125,0.1184,0.1228,286663.14428885
1639488600000,0.1224,0.1235,0.117,0.1222,243549.76985582
1639488660000,0.1224,0.123,0.121,0.122,83088.18700276
