timestamp,open,high,low,close,volume
1621335600000,1.6,2.5428,1.6,2.0999,81107.30467098
1621335660000,2.0301,2.4,2.01,2.3497,50320.82889972
1621335720000,2.34,2.34,2.17,2.288,27652.9822445
1621335780000,2.2303,2.2799,2.2303,2.278,15938.00696304
1621335840000,2.278,2.368,2.242,2.3495,19850.71587581
1621335900000,2.3495,2.3495,2.233,2.3,13386.43761691
1621335960000,2.3,2.3,2.2501,2.2698,5708.99285454
1621336020000,2.2698,2.2698,2.12,2.176,8124.13753592
1621336080000,2.1605,2.244,2.16,2.243,3087.78478828
1621336140000,2.2435,2.25,2.2399,2.2399,5812.64613996
1621336200000,2.2397,2.2398,2.1761,2.2151,1109.86857464
1621336260000,2.21,2.21,2.1,2.1758,7433.23475278
1621336320000,2.1014,2.1714,2.1007,2.1677,7841.81696058
1621336380000,2.1677,2.28,2.112,2.171,6213.03700125
1621336440000,2.1712,2.2,2.1651,2.1651,539.87082059
1621336500000,2.1651,2.1652,2.1217,2.122,5998.4572
1621336560000,2.122,2.1408,2.122,2.14,2067.44839872
1621336620000,2.1969,2.1987,2.1479,2.1984,1515.94154561
1621336680000,2.1975,2.1986,2.1551,2.1568,2224.95984934
1621336740000,2.158,2.1973,2.145,2.145,991.66772187
1621336800000,2.1225,2.1852,2.1013,2.1109,728.22812733
1621336860000,2.12,2.17,2.1111,2.1111,3943.7477
1621336920000,2.1111,2.17,2.1,2.1,1757.89983916
1621336980000,2.1698,2.1698,2.065,2.065,1639.9454717
1621337040000,2.1627,2.1627,2.0777,2.155,2133.22877635
1621337100000,2.155,2.1773,2.0888,2.1007,13366.26817012
1621337160000,2.1687,2.1687,2.1,2.1013,1627.871781
1621337220000,2.1587,2.1587,2.1139,2.1584,1164.25628762
1621337280000,2.158,2.1583,2.1281,2.1583,169.49324871
1621337340000,2.1583,2.1773,2.1583,2.1773,1693.80641249
1621337400000,2.1773,2.1773,2.15,2.15,2000.24821311
1621337460000,2.1435,2.15,2.1435,2.1499,1608.04249603
1621337520000,2.1452,2.15,2.1372,2.1491,2519.80242945
1621337580000,2.1487,2.15,2.1487,2.15,1518.80635868
1621337640000,2.15,2.15,2.1372,2.1372,3762.60668257
1621337700000,2.1512,2.1512,2.1512,2.1512,739.39323648
1621337760000,2.1512,2.1512,2.1442,2.1442,597.0606332
1621337820000,2.1384,2.1392,2.1162,2.1162,660.0455
1621337880000,2.1242,2.1242,2.1137,2.1137,15.7712
1621337940000,2.118,2.118,2.1146,2.1146,3965.06515363
1621338000000,2.1186,2.1271,2.113,2.1257,347.85116002
1621338060000,2.1257,2.1257,2.1156,2.1156,207.01308344
1621338120000,2.1156,2.128,2.1117,2.1252,2135.90154935
1621338180000,2.1241,2.1261,2.1241,2.1241,636.32525992
1621338240000,2.1242,2.1242,2.112,2.112,1392.12349021
1621338300000,2.1219,2.1237,2.1045,2.1045,2626.41571333
1621338360000,2.1048,2.1199,2.0923,2.1199,5603.6504
1621338420000,2.1199,2.124,2.1074,2.1074,535.68365403
1621338480000,2.1115,2.1235,2.1114,2.1235,147.5079
1621338540000,2.1235,2.1406,2.1095,2.1219,2915.23767707
1621338600000,2.1406,2.1406,2.1242,2.1392,258.59503036
1621338660000,2.1392,2.1393,2.1248,2.1248,1022.2392
1621338720000,2.1248,2.1248,2.1248,2.1248,0.0
1621338780000,2.1404,2.1404,2.1057,2.1276,2493.4151196
1621338840000,2.1281,2.1281,2.1233,2.1233,82.88680546
1621338900000,2.1364,2.1364,2.1364,2.1364,493.44123957
1621338960000,2.1249,2.1249,2.1227,2.1246,939.35499767
1621339020000,2.1227,2.1246,2.1008,2.1008,1330.55084516
1621339080000,2.1053,2.118,2.1052,2.1158,361.61571912
1621339140000,2.1054,2.1151,2.1,2.1001,743.33771833
1621339200000,2.1,2.1033,2.1,2.1032,1391.1665
1621339260000,2.1133,2.1133,2.1106,2.1131,164.32023804
1621339320000,2.1108,2.1139,2.1001,2.1131,860.27789292
1621339380000,2.1023,2.1104,2.0945,2.0945,391.2003
1621339440000,2.0946,2.0946,2.0945,2.0946,212.3595
1621339500000,2.1023,2.1023,2.0946,2.1002,674.01588935
1621339560000,2.1027,2.1027,2.1026,2.1027,90.8523242
1621339620000,2.0947,2.0997,2.0859,2.0997,1025.32147026
